iso3,year,hale
BDI,2008,49.71789866
DZA,2005,63.80757065
LBR,2016,53.86378676
SLE,2008,46.45899365
NER,2007,49.53928023
RWA,2004,46.92361702
UGA,2018,57.21662843
NGA,2015,53.60164097
CMR,2020,54.36933648
SOM,2004,43.55530119
GAB,2008,53.08007712
GNQ,2009,52.42838498
ZAF,2016,56.20118628
MAR,2020,62.67671702
DJI,2010,55.201823
MRT,2010,60.01546778
GIN,2009,50.73851372
SLE,2014,48.77614848
LBR,2015,50.60890516
MWI,2003,41.26450927
DJI,2015,55.653725
TCD,2012,48.85443157
SOM,2014,48.30932066
MWI,2013,51.74450259
GNB,2006,46.37357523
MDG,2002,51.98508231
DJI,2011,54.40777463
STP,2003,57.47822029
MUS,2000,60.28753297
STP,2020,62.82577755
TCD,2011,49.32644905
ZWE,2006,41.11315649
DJI,2003,52.48955933
MLI,2020,53.73813765
GIN,2005,49.33000171
MAR,2006,62.22373556
ZAF,2012,53.40247702
ERI,2001,51.53162128
MDG,2013,55.54405972
GMB,2009,53.91098654
UGA,2016,56.25831911
UGA,2003,43.85693533
STP,2000,55.21701139
UGA,2003,44.91112242
SSD,2008,49.66625061
DJI,2012,54.75395891
BWA,2011,50.75329531
ZWE,2008,42.62612336
STP,2016,62.4014128
ETH,2010,55.11563724
TUN,2021,63.57980464
MWI,2010,49.93269813
ZMB,2016,54.17389138
GHA,2004,52.99004598
DJI,2018,57.34659426
BWA,2018,54.6838835
SSD,2009,50.67296009
BEN,2020,55.04986142
ZMB,2020,53.91470698
SEN,2004,53.23993297
GHA,2004,52.44721567
MUS,2007,61.37000576
GMB,2017,56.42560141
BFA,2005,48.15813419
GNQ,2000,46.59602706
MLI,2003,47.56831262
EGY,2002,59.22863958
LSO,2021,46.39589508
AGO,2010,51.48670628
COM,2013,58.5880246
STP,2004,57.85189701
TCD,2001,44.92295702
BFA,2003,47.32109188
TGO,2009,50.4832465
COM,2015,59.1998525
EGY,2012,62.18821725
NAM,2020,57.78161018
MOZ,2007,46.4010635
ZWE,2012,48.28139125
SSD,2010,50.66755713
MOZ,2001,42.99653067
SEN,2014,58.12883791
SYC,2012,62.58285842
TGO,2006,49.65972602
TCD,2004,45.27061628
ZMB,2001,39.30980385
MWI,2008,46.91617348
TZA,2004,48.652152
LSO,2015,41.1112091
SWZ,2000,40.27881561
SYC,2012,64.5238694
ZAF,2007,46.30399158
MAR,2005,60.93500994
DJI,2019,58.34141006
TUN,2013,66.7599144
CPV,2021,63.76590577
ETH,2012,57.45290358
MDG,2017,55.87486068
TZA,2002,47.25329503
LSO,2011,41.12151878
MOZ,2006,44.16115379
COD,2009,48.26278382
RWA,2012,57.12656335
COG,2016,53.89668317
NAM,2006,46.62743384
TGO,2011,51.60273097
TCD,2000,43.90293542
CPV,2009,66.00479329
MRT,2000,54.42266223
MAR,2001,60.89224826
TZA,2009,53.33734228
CAF,2018,45.29513257
MDG,2004,52.62929734
GNB,2014,51.35617047
BEN,2004,50.43123976
DJI,2005,53.50155878
MUS,2013,64.08928273
SLE,2007,46.14213765
GHA,2000,51.45195692
ZMB,2014,53.14711079
BDI,2001,39.78856821
NGA,2008,50.89207514
BDI,2019,55.10198613
GAB,2001,50.05978123
LBY,2002,63.76001386
NER,2001,44.16261629
ZWE,2016,49.85646216
ERI,2012,55.71558321
SSD,2011,50.86418482
TZA,2001,46.5744192
ZAF,2014,53.83648312
COG,2000,45.52696437
MUS,2010,63.76245891
LSO,2007,38.62072621
BDI,2016,56.32649686
MWI,2007,46.1668238
SWZ,2001,40.86530871
MLI,2010,51.59494524
TZA,2011,54.15983087
MUS,2003,60.90810447
MAR,2000,60.33454825
MDG,2018,56.07886515
STP,2004,57.63615645
SSD,2021,51.44885595
TZA,2016,56.89865706
LSO,2014,42.44178604
SDN,2000,54.13362298
LBR,2007,49.49838791
MDG,2009,54.87590343
AGO,2011,49.92558892
MAR,2013,63.52791861
NGA,2020,54.75575363
GAB,2013,56.0553769
NAM,2011,53.2875184
LBY,2007,64.43103384
GMB,2011,54.51964995
NER,2012,51.62439969
SEN,2001,51.1866464
LBY,2013,64.13929633
BWA,2017,54.30861295
TUN,2008,65.57857547
LSO,2004,38.571497
SDN,2012,58.54517139
BEN,2004,51.10997355
NGA,2020,54.34486879
COG,2009,53.27984118
CMR,2002,45.90450069
UGA,2011,51.46218832
NAM,2005,45.36071908
MOZ,2003,45.30626278
DJI,2012,55.29960717
BFA,2017,55.39439117
KEN,2001,47.38390911
GMB,2010,54.33118476
MRT,2005,56.88501545
MLI,2007,50.40025213
ZAF,2006,45.21049814
KEN,2012,54.90716869
SOM,2004,42.26407766
GMB,2021,56.10470021
MDG,2019,56.0947709
MAR,2007,61.19463554
MDG,2016,55.76344538
STP,2014,61.7638458
SSD,2000,45.53019664
BWA,2012,50.86854591
TUN,2019,66.03060443
CAF,2008,41.21052022
ETH,2011,56.64655249
SWZ,2002,39.42293962
SLE,2011,48.52647717
SYC,2007,66.41473306
ETH,2021,58.82731284
GAB,2004,50.95243073
GHA,2017,57.17991839
NAM,2017,56.5395346
BWA,2016,54.53986299
SYC,2000,66.56795437
BDI,2003,40.02136888
COD,2021,54.27110331
BFA,2010,52.21417342
TGO,2001,49.06442075
LSO,2004,37.81749688
UGA,2007,48.08641377
RWA,2004,47.92207173
NER,2007,49.11422101
BDI,2011,53.36276742
SEN,2007,55.52399214
ERI,2003,49.73080107
MDG,2013,55.68453807
NGA,2010,51.85925363
RWA,2019,59.93071841
TGO,2012,53.67232678
BFA,2018,55.79019727
TUN,2010,66.51217064
MAR,2008,62.62607141
SYC,2021,64.26070724
CAF,2009,43.45347268
NAM,2002,46.60063446
COG,2017,54.14871772
MLI,2021,54.00282892
DJI,2000,52.36549948
ERI,2021,53.65988864
SWZ,2016,48.70870089
SDN,2017,59.6245136
ZMB,2019,54.9724876
DZA,2002,63.44575658
NAM,2017,54.57006707
KEN,2001,47.62289425
SOM,2010,45.43007806
ZAF,2021,51.66905251
DJI,2016,57.30780136
LBR,2011,51.70360633
ETH,2002,47.0934069
SSD,2006,47.74684299
TCD,2008,47.33629819
GIN,2004,49.04867915
GIN,2019,53.66520445
MUS,2021,61.82625862
BDI,2015,55.84378186
LBY,2009,64.14764819
TUN,2000,64.35250783
AGO,2004,46.46972133
KEN,2007,51.86735546
MOZ,2018,50.17913701
SLE,2001,44.67863994
RWA,2006,50.50933396
ZWE,2007,41.98536377
SLE,2004,44.84614138
MOZ,2004,43.79214363
SOM,2010,42.31213968
CAF,2019,44.41225011
GNB,2013,49.93657
TGO,2015,53.97696324
COM,2013,58.74385093
ZAF,2005,45.16339037
GMB,2018,56.05016471
ZAF,2008,46.66834195
SYC,2013,66.56601205
NER,2010,50.78073475
TUN,2011,65.85578445
ZMB,2021,51.94977758
GIN,2002,48.29955741
GNB,2003,46.2428511
BEN,2003,50.76970584
RWA,2014,58.87672706
EGY,2007,62.03895178
EGY,2015,61.38030028
BFA,2013,53.71334059
COG,2016,54.50269678
GHA,2007,52.50928177
SLE,2016,51.19129936
EGY,2001,60.23372333
MLI,2013,52.16270599
ZMB,2003,41.38354157
NAM,2021,52.82296302
MLI,2016,53.37194574
GHA,2009,53.13171117
MUS,2013,65.98634986
TGO,2021,56.79332679
TCD,2015,50.80512113
ETH,2014,58.76198628
ERI,2013,55.99483461
AGO,2009,49.59239612
MOZ,2013,46.00393115
EGY,2016,60.93540525
SLE,2020,52.60242139
MOZ,2007,44.52084242
BDI,2015,53.60797536
UGA,2007,49.27544833
LSO,2011,42.83370993
ETH,2000,45.11710443
BDI,2007,49.53491548
BEN,2003,51.47751267
SLE,2007,45.91340886
LSO,2018,46.75353451
ZWE,2009,43.63162431
MRT,2008,59.26220605
MWI,2004,42.21263309
EGY,2018,61.53730826
STP,2005,58.24997451
CIV,2008,48.54655717
MUS,2015,62.56069952
SYC,2010,62.34358419
LSO,2012,42.73575573
COD,2004,45.79684564
CAF,2020,45.98779435
SWZ,2015,45.6058607
SWZ,2016,46.4682297
RWA,2003,46.08046025
CIV,2004,46.88495479
ZWE,2010,45.96465148
BEN,2006,51.04077944
MUS,2004,64.6015888
ERI,2006,53.56398073
CPV,2009,62.5273929
BWA,2012,52.77126169
BFA,2011,52.74164206
GAB,2005,51.76211167
EGY,2004,60.59580932
ZAF,2018,55.9036875
MWI,2004,42.43796574
MRT,2005,58.81179903
SEN,2020,59.63305896
CIV,2011,51.21168393
RWA,2005,48.80808691
ETH,2013,58.15437043
COM,2012,58.17995479
BWA,2004,45.17436917
DZA,2005,64.71252453
BEN,2015,54.57888515
CPV,2003,60.73019306
CPV,2000,64.29385937
MUS,2018,66.05167271
ZAF,2009,46.81966431
CMR,2019,53.56261338
MUS,2005,61.0941432
SWZ,2015,47.70789241
SYC,2008,61.99621861
GIN,2019,53.50947382
CPV,2012,64.80162264
SYC,2001,63.77993591
BFA,2001,45.49888171
GNQ,2020,52.45136279
LBR,2005,48.72920612
AGO,2008,48.8268575
SYC,2010,64.45529829
BWA,2007,48.29148453
RWA,2006,51.27408819
MOZ,2021,48.66619286
NER,2002,45.0181104
TZA,2018,57.97651854
CIV,2006,48.82873712
TGO,2012,52.7995905
ZAF,2008,45.82370958
GIN,2013,51.54996324
MRT,2020,60.55111844
UGA,2001,43.26322986
SWZ,2014,42.8821546
ZMB,2000,38.89197983
STP,2014,61.82841357
MDG,2008,54.63209476
LBY,2017,63.79440542
TGO,2018,54.28612966
EGY,2014,62.62591648
GIN,2008,50.38362378
BEN,2005,52.02870015
LSO,2000,41.81535452
ZWE,2001,40.33425267
SDN,2005,56.19178039
UGA,2021,58.87526641
SWZ,2011,40.58827336
LSO,2006,37.38275235
GAB,2010,53.05100044
SEN,2010,56.99633812
SWZ,2008,38.99908627
DZA,2001,63.02387094
KEN,2018,56.74287272
SSD,2007,48.43504532
ZMB,2012,52.10005357
ETH,2008,53.70843636
ZMB,2006,45.7022111
MLI,2016,52.86428637
ETH,2003,47.90861965
MOZ,2011,46.38167076
MRT,2003,57.89259649
AGO,2017,52.7566497
COM,2019,60.07462574
NER,2003,45.84488704
SYC,2019,66.37261592
ETH,2001,46.1894396
