iso3,year,hale
EGY,2017,61.38109959
MLI,2008,50.80510336
GMB,2008,53.78399721
KEN,2018,59.05663995
LBY,2012,63.83117625
ERI,2017,57.13047508
TUN,2006,65.33879774
ERI,2020,55.74637083
GHA,2018,58.76678611
CIV,2001,44.3297093
STP,2010,60.40658034
NAM,2009,50.10750776
MAR,2013,62.31391675
NGA,2019,54.81295678
MOZ,2000,44.48780338
KEN,2018,57.88585027
CAF,2021,43.78474161
UGA,2008,49.0361303
GMB,2011,54.74405694
MUS,2016,64.33615853
SYC,2003,63.6416111
MAR,2011,61.96295588
GNB,2019,50.60263871
SEN,2001,51.54522991
TGO,2001,48.47026504
CIV,2020,56.50795732
SWZ,2006,37.80848656
TGO,2019,56.9120739
LBY,2018,62.84147327
SLE,2011,48.56992073
SDN,2006,56.49514612
LBR,2002,45.22315028
LBR,2009,51.05373864
MRT,2002,57.29760751
COG,2009,52.30076063
BFA,2009,51.61640392
CIV,2021,56.39795644
LBY,2000,63.85468651
MAR,2015,62.59975875
KEN,2021,58.21708276
GIN,2003,48.58476798
SWZ,2011,42.19010392
UGA,2018,59.23385122
GNQ,2021,52.93377672
GNQ,2008,51.28094451
SEN,2015,58.6731595
BWA,2009,48.62032943
TUN,2002,65.62163781
MWI,2005,43.40689059
AGO,2000,42.8471807
LBR,2000,45.10850092
AGO,2001,43.42967742
TGO,2013,53.20262088
NER,2019,52.98737469
MAR,2014,62.45861194
GHA,2007,53.22327296
ETH,2019,60.67213851
GNQ,2006,49.46981537
SSD,2018,50.82844482
GAB,2017,57.29013259
LSO,2003,41.50645842
SOM,2007,42.6849295
TZA,2000,45.91537814
TCD,2008,46.8592843
SDN,2015,59.13617363
COM,2001,54.85525497
ERI,2017,55.13025063
SEN,2005,54.49055308
MAR,2019,63.59750282
GNQ,2020,52.848737
MUS,2018,64.23751358
BEN,2007,51.93825345
CMR,2001,46.09229165
GMB,2006,53.06362912
UGA,2010,53.40583853
NAM,2014,52.24256611
GHA,2020,59.22658515
COD,2001,44.53420052
COG,2003,48.27495629
COM,2003,55.61006964
TGO,2004,49.01258857
COM,2000,54.290566
SYC,2015,64.37795088
COG,2018,55.54757013
KEN,2006,50.27492093
TCD,2019,51.36593593
MUS,2012,65.9525641
GMB,2020,56.06107159
TCD,2006,46.83167058
MUS,2017,64.3064287
COG,2007,49.64327434
ZAF,2007,45.13559818
COG,2014,53.70300796
ZAF,2018,54.24615932
BDI,2007,48.63508313
GNB,2001,44.3461207
SYC,2004,61.16568522
SYC,2005,66.63844687
SDN,2004,55.63715734
ZWE,2009,44.06733904
STP,2005,58.24528466
CAF,2016,46.35956894
BEN,2018,56.47509761
GNB,2012,49.55315062
KEN,2016,58.22523707
CAF,2007,40.48231075
ZAF,2004,45.57532745
ETH,2004,48.82522297
TGO,2007,50.45318157
AGO,2007,49.18331618
CAF,2008,41.8926082
AGO,2013,51.04620506
UGA,2021,55.53354919
AGO,2013,52.32705987
NAM,2014,54.17865672
ERI,2008,49.54576631
TZA,2019,57.97025173
STP,2011,60.74468933
BDI,2021,54.80213732
MAR,2014,63.0611931
GMB,2015,55.63729305
EGY,2011,62.45981604
GNB,2016,49.77348904
SEN,2012,57.9487753
TGO,2002,49.16504907
CMR,2013,51.54919915
NER,2021,52.60991521
LBR,2009,51.98291078
GNB,2001,45.58192067
GHA,2008,54.44994561
GMB,2004,52.65341866
GAB,2009,52.68264534
SSD,2017,50.83743265
CPV,2005,60.93286833
UGA,2015,53.65053131
COD,2020,52.44817937
UGA,2013,56.44940842
GNB,2016,51.97739678
MUS,2001,64.3618571
MOZ,2005,44.78191644
STP,2008,59.65728746
GAB,2014,56.64625637
CIV,2005,46.90500498
BDI,2011,51.9217851
NGA,2008,50.70272616
TUN,2016,66.98157772
ETH,2012,56.00871407
TGO,2017,53.8409019
SEN,2020,59.19714305
GHA,2014,56.16283408
GAB,2011,53.82261588
GIN,2020,53.43718875
GHA,2003,51.8149206
ZWE,2004,40.02049442
MLI,2005,49.50493095
ZAF,2010,49.23620874
TGO,2003,48.67948519
BFA,2012,50.92248655
UGA,2017,58.82539672
ZMB,2001,39.30862766
SSD,2016,52.07421193
EGY,2000,60.41771928
LBY,2018,63.94401014
ZMB,2002,40.032304
CIV,2007,48.55483244
GNB,2017,50.13648368
COM,2009,57.5461237
BFA,2021,53.52146379
MOZ,2012,47.62067319
SSD,2003,47.43519696
NAM,2010,52.65613981
GNQ,2002,48.02331807
MDG,2012,55.52277814
SDN,2020,59.14611015
BEN,2009,52.95739145
GNB,2008,48.57165102
LSO,2005,37.13447751
ZMB,2014,51.24163855
MAR,2016,63.31096438
BWA,2015,52.88632019
MUS,2012,64.007356
KEN,2019,59.39926478
CMR,2016,52.88489956
NER,2006,48.90528519
MLI,2012,51.22137428
GAB,2001,50.43260247
NGA,2016,53.88544145
BFA,2016,52.75261673
KEN,2013,54.15551749
NGA,2013,52.68930024
MOZ,2016,47.67670467
LSO,2014,44.22401481
RWA,2008,53.07375927
MAR,2008,62.01815208
MRT,2001,54.87479289
MUS,2000,62.18557796
COG,2012,54.0051862
NAM,2005,46.58906514
SWZ,2009,39.63951147
STP,2011,60.7587091
LBY,2005,64.37159127
ERI,2004,52.71494907
ETH,2019,59.93190324
SSD,2011,50.05987535
NER,2000,43.86224259
SYC,2018,64.29452554
SDN,2015,59.1731042
STP,2001,56.20284518
ZWE,2003,39.9466928
BWA,2018,56.66100434
LBY,2020,62.53292105
NER,2004,47.03806547
MRT,2010,61.12789952
SSD,2015,51.1550016
COG,2010,53.79801814
GNB,2003,45.15183575
ZAF,2005,45.38874216
NER,2003,46.10065277
TUN,2015,65.49511568
GNQ,2003,48.02202139
SWZ,2013,45.81294012
DJI,2006,52.25734406
MWI,2011,49.90859494
TZA,2005,49.38721052
DZA,2014,65.74091003
SLE,2000,42.09161765
AGO,2021,54.73113392
GNB,2020,52.42119396
SDN,2018,59.79306831
TZA,2002,47.14431507
COD,2019,54.58623834
DJI,2007,53.67415938
NER,2014,52.34075514
BFA,2002,45.33348138
ETH,2015,58.44375312
NER,2019,53.3125254
GMB,2002,51.68882421
COM,2008,57.35278858
SSD,2005,47.98780159
CAF,2006,41.18143068
ETH,2007,51.78649056
STP,2000,55.86694418
CPV,2018,64.59636052
LBY,2006,64.45796311
NGA,2019,54.67803418
TGO,2000,49.70619839
RWA,2011,56.53724775
MUS,2011,62.00105136
CIV,2020,55.2699279
MLI,2013,51.39178968
GIN,2016,52.2375335
MWI,2015,54.25269993
RWA,2012,57.90266046
NAM,2019,53.33702407
ZMB,2006,44.26660626
BFA,2017,54.33611903
NGA,2011,52.04008792
RWA,2008,54.66228169
MDG,2003,52.27563039
SEN,2018,59.36876638
STP,2006,58.68181285
GHA,2011,54.88318904
NER,2015,52.34050567
RWA,2018,58.97197321
CMR,2003,46.45944658
LBR,2019,53.47498774
GNQ,2008,51.49543359
GHA,2015,56.50723703
NAM,2000,45.49210554
STP,2014,61.69257421
ZWE,2000,40.45361919
MLI,2009,50.15173696
GHA,2003,52.65135648
SOM,2013,44.95563328
MDG,2015,55.78696086
COD,2002,46.4151173
STP,2009,60.03062248
NER,2013,51.74498221
MAR,2003,61.20677171
AGO,2000,44.43854811
BDI,2005,42.51025877
COD,2002,44.69682118
LSO,2020,45.08762018
ZMB,2008,49.10172337
SLE,2016,51.22997879
MWI,2015,55.83330426
GMB,2016,56.15568328
MOZ,2017,49.67924979
GNB,2011,48.09938231
MUS,2005,62.85224357
BDI,2009,51.75655652
MLI,2010,51.06296483
ZMB,2007,47.41506878
NAM,2020,55.71828677
GAB,2002,50.35740864
TUN,2016,66.24766761
BDI,2013,53.90851483
ZAF,2003,45.27442452
CIV,2020,54.28123311
COM,2016,59.32373515
BWA,2016,55.42529824
KEN,2008,52.10018477
COG,2017,54.7403055
CIV,2008,49.30711251
ZWE,2016,51.88663334
CMR,2001,45.82403969
NGA,2014,53.65509121
MDG,2005,52.79301208
TZA,2017,58.04912891
MDG,2012,55.25304298
GNQ,2014,53.23899726
DJI,2016,56.69370971
MWI,2014,52.34755116
SDN,2014,58.8997111
GNB,2004,44.49860832
MUS,2014,66.1067015
MOZ,2016,49.10156339
KEN,2000,47.40186596
LSO,2018,43.20029041
CIV,2011,49.45503536
TCD,2001,45.48544352
ERI,2005,48.17862478
LBR,2000,44.82813183
UGA,2004,46.14398151
ZWE,2017,50.1439169
TGO,2005,50.59737266
COD,2016,53.14272989
DZA,2008,64.26788726
BWA,2000,42.48820698
CMR,2018,54.38256683
BDI,2018,55.93342516
STP,2012,61.07881127
EGY,2005,59.93749015
LBY,2004,63.57299837
GAB,2003,50.5218173
SEN,2011,57.36160479
MDG,2003,51.97726064
NGA,2006,49.77235715
ZWE,2000,40.53121634
LBR,2005,49.58704318
NAM,2016,54.29661419
CIV,2004,46.00144318
ZWE,2012,46.95286146
NGA,2003,48.26217155
EGY,2006,61.86114575
COG,2020,55.48419721
SYC,2001,61.11775778
STP,2000,55.51983777
MOZ,2019,49.27125011
CMR,2017,53.67375961
BFA,2015,54.58972274
GNQ,2005,49.06727243
LBR,2004,47.77100314
ZAF,2020,55.91991043
CAF,2001,39.04218148
SEN,2017,59.52727649
BDI,2000,40.66699336
ZMB,2009,49.21949057
SDN,2021,58.53978678
BEN,2019,54.94278924
TUN,2015,66.15358431
SOM,2000,42.25654377
MDG,2003,52.58506211
SYC,2020,66.16157518
SEN,2021,58.90300084
TGO,2004,49.62557638
CAF,2018,47.24087082
SSD,2013,49.94880099
COD,2006,47.47451056
RWA,2002,43.38612643
BEN,2000,49.88735099
AGO,2014,51.72327012
MUS,2014,64.24093616
GIN,2002,48.18912959
LBY,2016,63.67386231
TUN,2009,65.67504049
COG,2008,51.55196817
BEN,2016,53.97821638
SLE,2016,51.2718952
TZA,2012,55.13880293
ZMB,2013,52.62015659
MWI,2016,53.08979154
SWZ,2017,49.33316206
SLE,2007,45.68205399
TGO,2003,49.98976978
ETH,2003,47.88894611
COD,2007,47.40268123
TZA,2007,51.74932446
GNB,2016,50.90690199
NAM,2015,52.27151908
CPV,2001,64.56358705
NER,2015,52.19385013
NER,2012,51.43657094
SYC,2013,64.52533095
TGO,2005,49.10527559
ZMB,2003,40.87197219
SOM,2006,45.26949947
BDI,2017,56.72319109
EGY,2020,60.54407543
GAB,2011,53.36614909
MDG,2006,53.58812549
GHA,2013,55.80164977
CIV,2019,55.42385947
NAM,2003,45.40205936
AGO,2009,48.49526939
BDI,2012,52.50513614
TUN,2007,64.77164741
ZMB,2013,50.64858014
GHA,2010,53.48226256
TGO,2020,57.11258638
SDN,2014,58.97962067
MRT,2019,60.82138185
RWA,2004,47.43644142
MUS,2016,66.14871883
NAM,2008,51.37658358
MRT,2013,60.73336068
MRT,2015,62.00163619
GHA,2002,52.37116654
SSD,2012,50.44656963
MDG,2010,54.96138061
COD,2003,46.70480313
GNQ,2017,53.01223209
LSO,2002,44.06916573
ERI,2015,54.52994584
EGY,2021,59.67424784
SOM,2002,43.50980202
ERI,2008,51.89056038
ZAF,2013,54.61789967
MOZ,2006,45.01521326
NER,2016,52.64483677
TUN,2021,62.929527
ZWE,2002,40.17759955
ZAF,2004,44.88128869
NER,2010,50.99978352
NER,2011,51.30897594
TCD,2004,46.12750784
CIV,2018,53.87126931
TCD,2000,44.56043967
SSD,2000,43.65321372
DZA,2006,64.46988727
STP,2006,58.69562993
GIN,2012,51.70029616
MRT,2014,60.80891155
BFA,2000,45.06333432
CPV,2016,66.56148722
SEN,2001,51.92903407
GIN,2000,47.42821714
ERI,2014,54.22186646
MRT,2011,59.37001117
MWI,2006,44.51476708
COD,2005,46.9727648
STP,2001,55.94940484
SLE,2012,49.19159094
MWI,2004,42.29888959
BDI,2000,38.7963474
GNB,2006,45.38649937
GIN,2019,53.36122747
KEN,2015,55.23125667
CMR,2005,46.94334958
CMR,2021,54.64910212
ETH,2010,55.73961355
GIN,2012,51.39661344
MDG,2016,56.00034227
LSO,2019,46.88409564
MRT,2018,60.62188931
ZAF,2004,45.36053684
STP,2003,57.18194307
GMB,2007,53.1389753
SWZ,2006,38.2329589
KEN,2009,52.3584359
TCD,2012,49.26178693
RWA,2007,52.74060722
GNQ,2012,51.2306613
BEN,2012,53.75975901
COD,2004,46.46569696
DZA,2001,63.19088429
MWI,2019,55.53671304
TCD,2006,46.19199981
LBY,2019,63.35601233
SDN,2011,58.0264854
LSO,2018,44.87803314
TGO,2008,51.5141624
BDI,2020,57.55826103
LSO,2005,38.21363481
TGO,2017,56.06081082
CAF,2002,38.7568416
DJI,2014,55.97503634
ETH,2018,60.37915511
AGO,2003,44.87989285
LBY,2011,60.76477218
SEN,2016,58.81336709
LSO,2021,43.10069714
LBY,2007,64.50771028
CAF,2013,42.89061683
SLE,2019,52.63188374
SWZ,2015,43.7613095
ZMB,2013,51.69497502
CAF,2010,43.76196751
MUS,2018,62.50083596
ZAF,2011,50.83901213
ZWE,2017,51.19990376
SOM,2020,49.94837936
SYC,2013,62.65426643
BDI,2006,48.17181258
BWA,2001,41.83578909
CPV,2013,65.01867343
GNQ,2011,52.85478807
GMB,2020,56.38126429
RWA,2009,53.6264825
SYC,2005,61.29138085
UGA,2019,59.49542051
CAF,2009,41.660569
MLI,2017,52.66199935
TCD,2000,45.2447654
BWA,2015,53.7795599
LSO,2021,44.63433272
MOZ,2015,47.1237036
SWZ,2000,42.61574817
COD,2021,52.19115834
COD,2015,52.68615798
SWZ,2021,47.46740336
SOM,2018,48.19341199
GHA,2001,52.15889802
ZWE,2007,41.87136574
SYC,2010,66.72112237
COM,2005,56.41031069
GAB,2011,54.3641335
CAF,2014,41.21065302
SYC,2001,66.55983923
BWA,2003,41.51840548
MRT,2010,59.05806055
UGA,2019,57.55453728
NER,2016,52.5220767
SDN,2015,59.12051006
ETH,2015,59.24591702
LBY,2000,64.22565413
RWA,2018,58.03336795
ZWE,2010,44.70096802
DJI,2017,57.02248494
ZAF,2001,49.27948773
NGA,2004,48.8260246
BWA,2018,55.71951653
MWI,2018,53.85577733
UGA,2015,58.02954756
EGY,2013,62.76072837
DJI,2006,53.79866936
COG,2015,53.34391788
SLE,2010,47.91188574
GHA,2009,54.88352564
ZAF,2005,44.67129516
CMR,2005,47.17475809
LSO,2001,42.23330628
BWA,2006,46.08486686
TZA,2020,58.72748284
NER,2017,52.85652787
MLI,2018,53.81238719
ETH,2015,57.6645209
SDN,2018,59.92293438
MDG,2013,55.40780958
CIV,2012,51.08658384
NGA,2018,54.30115822
CMR,2010,49.63110251
BWA,2013,52.59608137
BEN,2008,53.20183781
LBY,2013,63.96634234
GNB,2007,46.04702841
COM,2004,55.99994262
SDN,2021,58.54935372
NGA,2009,51.41380952
COD,2007,48.57056036
MUS,2020,65.68965068
LBY,2001,64.43345747
MDG,2009,54.49729648
NAM,2003,46.27036267
TGO,2021,55.84901463
CAF,2000,38.29820598
ZWE,2003,39.96559541
SEN,2011,57.69244326
BEN,2019,55.87127111
LSO,2016,43.51674295
BEN,2001,49.42330474
SLE,2018,52.21157781
LBR,2003,44.95222235
EGY,2014,60.71225513
DJI,2002,53.06271137
TGO,2006,50.28476851
COG,2020,54.64570914
SDN,2007,56.93706692
SYC,2015,66.45946758
SEN,2010,56.64328635
DJI,2020,56.66795383
MRT,2011,60.33128531
CMR,2012,50.52252987
ZAF,2019,56.29404412
COD,2004,47.14783652
MOZ,2017,51.19384646
CMR,2017,53.05992481
CPV,2004,63.12124105
MUS,2002,60.78386156
LSO,2006,37.05335866
MAR,2012,62.76038495
TZA,2000,46.06826681
ETH,2004,48.77760719
BDI,2001,38.0707799
GAB,2017,54.90825645
SDN,2005,56.14628556
NAM,2009,52.119341
NGA,2005,49.0016843
MDG,2009,54.68421024
LBY,2007,64.31075601
NGA,2017,54.37820927
COD,2016,51.3831447
LSO,2009,41.46836374
GHA,2012,55.40156191
MRT,2003,56.82851431
DZA,2001,63.34769411
SWZ,2001,39.86597674
DZA,2007,64.12893669
KEN,2015,57.61688133
GIN,2002,48.47281119
BDI,2002,39.10461949
LBR,2019,53.98511935
CAF,2012,44.28442163
MUS,2003,62.66629806
LBR,2001,45.43455466
KEN,2007,50.63596089
CPV,2011,62.94026316
RWA,2011,55.67424775
MWI,2006,45.1031274
KEN,2009,53.68723487
LSO,2010,42.42217813
SLE,2000,43.07182717
NER,2011,51.10196947
ERI,2013,51.6616577
MUS,2000,64.2223704
BDI,2010,51.94288706
AGO,2014,53.09963627
ZWE,2003,40.1987191
MLI,2015,52.89715048
UGA,2014,55.21564183
COM,2014,59.03756027
GHA,2021,57.88251828
COM,2009,57.12961891
GNQ,2013,52.78910654
MLI,2000,46.79166564
GAB,2004,50.80838899
MWI,2010,48.98516498
BWA,2005,44.9014864
NAM,2012,53.79066338
UGA,2012,55.27239894
COM,2004,56.06463055
MDG,2021,55.09221079
GAB,2013,54.86953037
UGA,2009,49.95345917
SLE,2019,52.5846221
COG,2017,55.34617998
TCD,2021,51.92437045
GNQ,2004,48.57651384
MOZ,2008,44.91309019
DJI,2021,56.99236604
GNQ,2007,50.26476807
GNB,2014,50.16630174
CPV,2020,66.78371939
COM,2008,57.32443452
GNB,2006,47.39238532
DZA,2007,65.24104303
MRT,2008,58.32488148
GIN,2001,47.84631814
SLE,2011,48.48139718
CAF,2017,44.56015338
SEN,2019,59.87235176
ZAF,2017,56.8950756
MOZ,2011,45.40597605
ZMB,2018,52.32203664
MOZ,2008,45.8779934
GMB,2009,53.78099254
ZAF,2006,44.63327506
UGA,2017,56.75483873
TUN,2018,65.80569754
COG,2021,54.40109549
CPV,2002,60.61605908
NAM,2001,47.21591295
TGO,2012,52.04274527
