iso3,year,obesity
SWZ,1992,17.279954
NAM,2000,4.6007115
SEN,1992,2.5474541
TGO,2013,11.054648
ZWE,1998,10.811703
SWZ,2006,29.894352
SWZ,1991,3.0131765
MLI,1992,1.8681318
CAF,2003,2.4089249
LBR,2011,13.001589
LSO,2009,4.3438364
COG,1993,5.2484673
NER,1991,0.47748177
BDI,1990,0.88639874
MLI,2021,12.379523
TZA,1992,1.2694229
TZA,2009,6.3592143
MAR,1993,12.598892
RWA,2018,5.8937542
ZAF,1997,20.919065
MUS,2005,9.270633
CMR,2017,8.1546545
KEN,2013,12.72589
MRT,2012,6.3228339
ZAF,1996,29.062909
NGA,2004,6.1455276
MLI,2004,4.4019934
CIV,2011,7.9324253
MLI,2020,9.037181
GIN,1993,1.9823113
STP,2008,5.7494629
ZMB,2009,5.9425812
STP,2015,7.3409393
MLI,2008,6.4251438
CIV,2008,7.1565531
RWA,2002,0.46822121
BWA,2020,17.458647
MLI,2016,8.8515341
GMB,1994,3.3492103
CIV,2022,15.721627
TCD,1996,1.7860325
MRT,1995,2.1911465
RWA,1990,0.87188035
COG,2015,3.4161717
DZA,1994,4.9576472
GNQ,2021,28.922898
GNB,2013,5.3337015
RWA,1992,0.96095316
SOM,2004,2.1739032
EGY,2006,32.892901
MWI,1993,0.70986981
TUN,2021,26.339301
COG,1992,3.2436091
EGY,1998,26.018322
ZWE,2022,20.930494
BEN,1993,3.7456643
ETH,2004,0.8710796
ETH,2006,1.0017272
CPV,1999,6.256111
TUN,2006,19.276462
MLI,2002,4.2555969
TCD,2022,6.0424827
GIN,2009,5.1233921
BEN,2014,8.595629
ZMB,1998,1.2531955
BFA,2014,5.5913083
AGO,2008,10.914398
COD,2002,1.8923793
CIV,2003,3.4762166
BEN,2002,7.4280843
MLI,2009,6.748154
GMB,2006,6.616915
MOZ,2022,13.697648
SSD,2016,8.9644812
MWI,2010,4.0310543
GIN,2014,6.4509332
GNQ,2012,23.357685
TCD,2001,2.0775316
SWZ,2003,17.48568
GNB,1994,3.4804136
MOZ,2005,2.2986457
ZMB,2012,10.265724
