iso3,year,ncd_mort
MDG,2005,30.5
SSD,2006,17.9
BEN,2013,19.9
TCD,2004,23.0
CMR,2005,30.8
SDN,2016,22.0
MUS,2016,22.9
NGA,2014,16.5
EGY,2005,29.7
MUS,2017,22.9
GMB,2015,23.0
CPV,2003,19.8
GNQ,2004,22.8
BFA,2011,22.5
MUS,2003,34.2
ZWE,2008,29.7
MWI,2005,26.0
EGY,2000,34.1
MLI,2013,23.4
DZA,2009,16.7
SLE,2008,26.8
SWZ,2009,31.6
STP,2003,21.1
COG,2011,24.7
DZA,2013,14.5
TGO,2007,28.1
GHA,2008,28.0
MLI,2013,25.2
ZWE,2006,29.2
ZWE,2010,35.5
ZWE,2014,33.1
LBR,2018,23.1
ZAF,2012,22.4
MUS,2008,25.7
CAF,2010,32.1
SWZ,2006,41.8
SWZ,2019,42.9
SWZ,2017,43.2
RWA,2002,35.1
MAR,2008,23.5
AGO,2006,25.9
MWI,2006,29.4
ERI,2011,33.2
SLE,2011,26.0
MUS,2002,23.0
GMB,2013,20.7
GAB,2007,25.2
STP,2008,21.0
MAR,2001,23.8
ZMB,2015,20.4
GNB,2015,24.7
TZA,2010,17.5
SEN,2009,24.3
CAF,2008,38.0
STP,2013,19.1
MLI,2011,22.9
MWI,2011,22.6
GIN,2001,24.3
GHA,2007,25.4
CAF,2012,32.0
SEN,2005,23.3
MDG,2001,28.2
GAB,2017,26.6
SWZ,2013,37.6
DJI,2008,20.4
ERI,2005,35.2
MRT,2006,21.2
TGO,2005,28.2
TGO,2005,24.6
CIV,2007,21.5
NER,2008,19.8
TUN,2012,19.3
SEN,2010,22.2
RWA,2010,21.2
BWA,2017,25.2
AGO,2016,25.7
UGA,2006,22.1
CIV,2006,21.0
BFA,2007,25.2
SLE,2010,26.8
LSO,2009,28.2
KEN,2019,19.8
AGO,2005,27.8
CIV,2011,21.8
BWA,2004,28.2
CAF,2019,38.3
MLI,2004,27.6
LBR,2008,22.1
MDG,2020,27.0
SYC,2009,15.7
GNB,2020,30.9
ZAF,2006,21.9
UGA,2013,26.7
GNB,2005,29.4
SOM,2010,34.3
SWZ,2013,33.3
GAB,2012,21.9
KEN,2007,17.5
MUS,2006,21.3
ZMB,2001,22.9
MOZ,2002,15.5
TUN,2016,18.9
GNB,2009,25.5
MUS,2021,21.7
LSO,2009,29.2
GNB,2009,31.8
SLE,2020,23.3
CPV,2021,23.1
NAM,2012,26.6
DJI,2007,21.8
TZA,2006,16.3
GAB,2010,27.2
ZWE,2002,28.1
TCD,2005,25.4
UGA,2021,18.6
MLI,2018,24.6
GNQ,2007,20.6
SOM,2019,26.6
BWA,2014,22.6
SDN,2018,21.9
ETH,2003,22.4
ETH,2015,17.2
DJI,2021,20.6
ERI,2007,34.3
