iso3,year,ncd_mort
TCD,2008,25.5
COD,2018,25.1
COD,2000,26.8
DZA,2006,15.2
ZMB,2018,25.9
STP,2012,20.9
NAM,2016,27.4
SWZ,2016,42.6
MLI,2016,23.4
BWA,2002,22.6
DZA,2014,13.2
NGA,2008,18.6
BEN,2007,19.7
KEN,2018,18.9
DJI,2003,22.4
STP,2010,19.9
MUS,2000,29.2
SOM,2000,37.3
ZAF,2006,29.2
ZWE,2014,33.3
TCD,2002,23.0
SSD,2021,22.4
SLE,2002,25.7
NAM,2011,27.2
COM,2004,23.2
STP,2004,21.3
SOM,2007,35.1
TUN,2018,18.9
KEN,2002,15.6
STP,2014,18.7
CMR,2013,24.4
KEN,2021,18.0
MOZ,2013,28.7
TZA,2016,17.6
CAF,2008,25.8
MWI,2001,26.2
SWZ,2001,36.4
MRT,2002,20.0
MWI,2017,28.5
CIV,2000,26.5
KEN,2008,18.1
MWI,2007,26.2
MRT,2008,15.3
SYC,2004,24.7
LSO,2010,34.5
MAR,2011,22.5
DZA,2017,15.3
AGO,2004,27.2
MAR,2004,23.6
BEN,2004,22.2
NAM,2007,23.4
MLI,2000,21.9
SLE,2016,24.0
BFA,2007,28.2
NER,2012,20.8
COG,2002,32.0
SDN,2002,26.0
MWI,2008,23.9
KEN,2012,19.3
LSO,2003,22.0
TUN,2008,16.6
TGO,2011,27.9
LBY,2020,20.7
COG,2021,21.2
NER,2013,20.8
LBY,2002,22.5
MAR,2017,23.5
GHA,2006,25.2
CMR,2010,24.0
MWI,2012,26.7
GMB,2004,27.4
ETH,2007,20.2
MWI,2021,27.4
GIN,2011,26.3
GMB,2016,21.0
SLE,2007,26.5
TCD,2017,22.5
MRT,2007,18.7
CAF,2007,38.5
STP,2017,20.5
GNQ,2013,19.4
DJI,2010,20.3
MWI,2012,22.5
LSO,2016,38.0
SEN,2012,23.6
COG,2011,25.9
MDG,2018,25.8
GHA,2020,19.5
COD,2016,25.1
SEN,2010,23.8
ZMB,2020,20.7
CAF,2006,33.8
ZAF,2001,21.2
STP,2014,20.7
SWZ,2002,37.9
BFA,2015,28.8
LSO,2021,33.8
BDI,2011,24.3
SDN,2021,20.1
TCD,2015,24.4
DJI,2001,20.7
LBR,2007,22.1
MUS,2018,17.4
LBR,2003,23.2
MWI,2020,26.1
SLE,2005,27.2
GNQ,2000,25.3
GMB,2012,25.5
TGO,2004,28.2
DJI,2000,21.6
SOM,2009,31.4
NER,2012,20.4
MAR,2008,23.2
SWZ,2016,35.2
SLE,2015,23.8
MAR,2017,22.6
MAR,2000,23.4
LBR,2012,23.7
DZA,2004,18.6
UGA,2018,18.3
ZWE,2012,33.0
STP,2014,19.7
CIV,2021,22.7
COM,2007,22.1
COD,2006,27.4
AGO,2000,27.8
GMB,2021,21.2
MUS,2013,28.6
TZA,2004,18.6
SEN,2005,22.4
COG,2016,22.7
MWI,2015,24.6
GAB,2003,21.3
CIV,2002,26.2
SSD,2016,16.0
ZWE,2018,33.6
ETH,2014,16.8
ETH,2005,21.3
SWZ,2002,31.1
MUS,2002,34.8
CPV,2005,20.3
BFA,2002,29.0
TUN,2006,13.3
GNQ,2015,19.7
TZA,2021,18.8
TZA,2014,17.2
TGO,2014,30.7
ERI,2017,25.3
GHA,2020,22.8
CPV,2001,16.4
MDG,2015,27.7
BDI,2017,25.6
CAF,2017,32.7
MRT,2001,20.4
GAB,2020,16.1
MWI,2001,26.8
ERI,2017,27.8
MDG,2003,31.0
MRT,2012,20.6
MRT,2009,20.8
MUS,2014,23.2
COG,2008,27.9
GHA,2016,27.6
MRT,2016,18.1
CMR,2001,24.5
SSD,2015,21.4
STP,2015,18.9
BWA,2015,21.2
GAB,2002,21.3
MOZ,2004,14.8
NAM,2002,26.2
NGA,2001,22.9
COM,2009,21.4
GNB,2015,29.8
BWA,2009,25.5
TUN,2021,13.0
RWA,2020,22.9
MRT,2021,20.9
DZA,2021,13.3
SOM,2021,27.1
UGA,2016,25.2
ZMB,2016,23.1
CIV,2004,21.2
GMB,2006,21.1
TGO,2006,28.2
MWI,2002,26.7
UGA,2001,25.9
RWA,2001,32.1
LBR,2000,23.1
SSD,2008,14.7
SOM,2006,35.4
BFA,2014,29.0
COG,2004,31.2
SDN,2007,24.0
SEN,2005,24.3
TGO,2012,31.3
SWZ,2011,30.2
MWI,2008,26.0
BDI,2006,27.6
COG,2015,24.2
MAR,2019,23.5
BDI,2009,24.9
SLE,2005,25.8
EGY,2004,30.0
GIN,2004,25.1
ERI,2003,26.3
BWA,2019,19.5
LBR,2019,22.0
MWI,2016,27.8
ZAF,2015,22.2
TZA,2015,16.7
DJI,2002,23.4
AGO,2003,29.3
KEN,2008,17.9
BFA,2001,26.0
GIN,2020,24.2
SDN,2004,24.1
LSO,2003,25.6
SEN,2007,22.8
BDI,2017,22.8
SOM,2002,29.0
TZA,2017,16.9
COM,2011,21.4
KEN,2015,18.3
RWA,2003,29.1
COG,2017,22.2
BWA,2019,17.4
STP,2009,20.5
SOM,2015,30.0
NGA,2020,19.0
SWZ,2005,34.1
CIV,2015,24.1
MUS,2013,18.2
ZWE,2016,33.6
CAF,2016,39.2
SDN,2018,22.8
KEN,2011,18.9
KEN,2010,19.1
SLE,2016,25.3
COG,2007,28.6
NGA,2005,19.4
NER,2013,20.4
NAM,2018,27.9
GNB,2006,29.2
MOZ,2002,27.2
MWI,2000,27.2
ETH,2009,19.3
TZA,2016,18.6
GHA,2018,19.9
DJI,2016,20.2
DZA,2015,13.1
BEN,2006,22.0
BDI,2007,26.1
TGO,2021,27.9
AGO,2019,24.6
COD,2012,25.5
MAR,2013,22.1
GIN,2015,26.4
STP,2021,20.0
NGA,2003,22.1
SLE,2017,24.0
LSO,2004,21.3
EGY,2013,28.4
BDI,2019,23.9
CIV,2008,25.5
BFA,2002,23.4
NAM,2016,23.4
GNB,2001,26.9
COD,2019,24.7
TGO,2006,32.0
LBR,2005,20.5
ZWE,2005,28.7
SWZ,2008,36.7
MOZ,2006,22.7
KEN,2017,18.7
COD,2003,27.0
RWA,2005,23.2
RWA,2012,20.8
DZA,2020,12.5
EGY,2018,22.2
ETH,2011,18.3
KEN,2012,17.1
COG,2011,27.0
COD,2004,28.4
TUN,2013,12.1
GNQ,2006,20.9
SSD,2021,19.7
CIV,2010,27.4
ZAF,2003,19.8
TUN,2011,19.6
NAM,2005,30.5
SEN,2001,23.3
MOZ,2009,20.8
SWZ,2020,35.1
CIV,2019,25.6
LSO,2007,32.4
MLI,2006,24.5
RWA,2003,27.1
ZAF,2018,22.6
AGO,2011,27.2
STP,2008,20.5
MLI,2001,25.5
ZWE,2021,30.1
GNB,2017,26.4
SWZ,2019,35.1
GMB,2002,24.3
BWA,2013,23.3
STP,2020,19.1
LBY,2010,19.0
GNQ,2003,23.1
ZWE,2007,28.5
ERI,2016,25.3
MDG,2009,27.9
MDG,2010,28.9
ETH,2016,17.0
TUN,2014,19.1
GHA,2011,25.4
EGY,2006,29.9
GIN,2001,24.7
COG,2009,26.7
GHA,2007,23.6
STP,2021,19.5
TUN,2003,17.8
NAM,2018,23.1
CIV,2011,25.1
GIN,2011,27.2
LBY,2007,20.6
SLE,2003,25.9
SWZ,2004,40.9
CMR,2002,30.3
UGA,2005,27.4
CAF,2003,27.5
KEN,2008,17.9
DJI,2003,21.5
MRT,2009,18.3
CMR,2006,27.3
BFA,2019,27.1
COM,2005,22.7
MOZ,2011,22.3
SYC,2004,31.8
MAR,2002,23.6
LBY,2006,19.4
COG,2018,22.7
MLI,2010,24.9
EGY,2018,33.5
MDG,2008,28.0
SWZ,2010,35.5
GIN,2007,25.8
LSO,2019,36.9
TGO,2014,27.2
GNB,2000,27.8
MOZ,2013,37.2
MRT,2000,23.2
DZA,2003,15.8
BDI,2010,25.5
GNB,2001,37.8
SSD,2013,19.2
LBY,2004,19.4
SLE,2011,26.4
GIN,2009,25.4
EGY,2003,36.4
BDI,2009,25.6
ERI,2016,31.1
NAM,2004,21.8
MUS,2004,28.4
MUS,2009,30.6
CIV,2017,26.1
MRT,2016,16.0
KEN,2005,16.9
BDI,2002,31.4
TGO,2013,31.1
COM,2010,21.4
ZMB,2020,28.3
CIV,2012,28.5
MAR,2007,23.5
EGY,2019,27.4
ERI,2011,26.1
MAR,2020,24.2
ZMB,2005,20.1
MOZ,2011,36.2
ZWE,2002,23.1
DZA,2009,14.4
MOZ,2005,15.0
KEN,2005,16.6
MWI,2006,26.9
ZAF,2014,27.8
GAB,2019,21.5
AGO,2018,26.6
AGO,2008,26.0
BWA,2001,14.1
NAM,2006,29.5
CPV,2017,17.6
SEN,2009,23.5
TCD,2008,23.4
MOZ,2000,27.2
GHA,2008,25.5
TCD,2008,27.7
GIN,2007,26.2
SSD,2009,17.6
TCD,2014,24.6
BEN,2019,18.9
GMB,2012,20.9
BEN,2017,21.9
SEN,2021,21.4
MRT,2018,18.3
RWA,2000,34.7
NER,2020,20.1
TUN,2003,13.9
LBY,2003,19.4
UGA,2013,18.9
TZA,2015,18.4
LSO,2004,32.4
ZMB,2002,22.5
BDI,2004,29.6
BWA,2008,29.5
COG,2006,25.9
MRT,2009,15.4
TUN,2017,11.8
SOM,2004,28.8
MAR,2005,23.8
SEN,2003,25.1
BDI,2016,24.1
EGY,2019,33.0
EGY,2014,34.6
BWA,2010,25.2
SYC,2000,24.4
NGA,2011,18.1
BWA,2000,13.8
UGA,2009,28.4
GIN,2017,25.6
LSO,2006,32.5
GNQ,2001,24.1
ERI,2012,25.9
ZWE,2006,28.4
NER,2004,20.5
LBY,2009,19.5
SOM,2003,28.8
LBY,2013,18.7
CAF,2000,30.9
BEN,2019,21.3
SEN,2002,23.0
ZWE,2013,33.0
COG,2006,28.8
SOM,2008,28.1
GAB,2021,20.4
TGO,2020,26.4
COG,2005,28.1
RWA,2001,34.7
ZMB,2000,28.5
NAM,2020,23.6
TUN,2009,20.1
MWI,2000,27.3
GHA,2013,28.3
EGY,2012,29.7
SOM,2016,29.8
SLE,2017,25.3
NAM,2012,22.1
GAB,2002,22.8
GAB,2019,17.1
NAM,2010,20.3
CMR,2016,26.3
SWZ,2010,39.2
SSD,2014,19.9
COD,2011,25.7
MAR,2018,21.9
DZA,2010,14.1
CMR,2006,24.2
DJI,2016,23.4
MDG,2016,26.9
SLE,2019,24.9
SEN,2000,26.1
ZWE,2001,26.8
GMB,2011,23.0
CPV,2006,13.0
KEN,2001,16.2
BWA,2018,20.9
ERI,2020,30.9
GAB,2001,24.4
BFA,2017,22.2
COD,2010,24.9
TGO,2002,25.2
SYC,2007,17.1
NGA,2019,18.1
TCD,2006,23.0
MWI,2015,22.4
MDG,2021,25.9
SEN,2016,22.8
COM,2005,22.9
LBY,2008,20.7
ZAF,2016,21.7
LBY,2021,21.4
CAF,2002,41.1
SDN,2018,23.6
SYC,2004,17.7
CPV,2005,16.2
NER,2021,21.6
MAR,2009,23.3
ZAF,2014,22.0
NGA,2006,20.9
ZMB,2021,23.6
NAM,2011,18.7
TUN,2016,11.8
KEN,2003,16.2
EGY,2006,35.9
CIV,2008,22.3
SDN,2003,25.5
COM,2016,21.1
GIN,2002,24.8
EGY,2017,21.9
BEN,2020,19.0
SOM,2002,32.6
STP,2002,21.3
COG,2012,26.7
NAM,2005,21.0
LSO,2000,23.6
CPV,2007,14.7
MDG,2017,25.9
MLI,2002,21.7
BFA,2007,22.7
ETH,2010,18.9
COG,2014,25.4
MLI,2017,23.1
EGY,2016,28.9
SYC,2015,21.6
NAM,2008,28.3
SOM,2021,28.1
SYC,2005,24.2
SLE,2002,26.9
GIN,2008,25.9
BFA,2003,25.6
GNQ,2019,20.4
TGO,2012,27.7
SOM,2020,32.2
CPV,2012,12.3
LBR,2011,24.1
LSO,2018,41.0
ZAF,2002,22.5
SDN,2003,26.3
ZMB,2019,20.4
NAM,2002,22.6
ETH,2017,17.2
MDG,2006,30.2
GAB,2021,18.1
BDI,2000,34.7
TUN,2005,13.6
BEN,2018,24.3
UGA,2001,34.4
STP,2007,21.6
RWA,2000,37.6
GIN,2005,25.1
ERI,2008,30.2
KEN,2000,16.1
CMR,2014,30.0
SDN,2005,25.4
CIV,2007,17.9
NER,2007,20.2
ERI,2002,37.3
MDG,2011,27.7
SEN,2017,23.2
MRT,2017,16.2
TGO,2016,30.2
BDI,2021,24.8
COG,2014,24.4
KEN,2015,19.1
ETH,2012,17.8
COD,2012,24.3
CPV,2018,12.3
GHA,2003,26.5
MDG,2012,26.3
CMR,2021,23.4
SYC,2002,17.6
RWA,2016,18.9
LBR,2009,21.5
MDG,2009,26.8
MLI,2017,24.8
TUN,2004,13.8
ZWE,2008,30.4
MWI,2019,23.5
GHA,2013,21.4
SEN,2011,23.6
ETH,2009,19.3
COG,2002,32.3
COD,2003,28.7
GAB,2019,25.7
MWI,2000,27.4
MDG,2013,27.0
MWI,2007,28.9
BFA,2010,25.3
TGO,2019,29.4
MRT,2006,15.7
SLE,2006,26.9
LSO,2001,18.2
MRT,2008,18.3
LBY,2009,21.5
TZA,2018,18.1
ZAF,2015,24.6
LBY,2006,20.7
SSD,2002,15.3
MDG,2008,29.2
GNQ,2006,21.4
SWZ,2015,34.5
CMR,2012,27.0
SSD,2017,19.6
BDI,2020,26.0
BEN,2011,22.5
NGA,2004,21.7
MDG,2013,27.9
GIN,2013,25.9
CIV,2012,21.6
DJI,2003,23.4
DZA,2008,15.9
AGO,2014,23.1
SEN,2018,22.9
MAR,2007,23.6
TGO,2015,30.4
ZWE,2004,27.7
SSD,2003,18.3
MUS,2004,22.8
UGA,2006,26.2
CAF,2020,32.7
BWA,2012,28.6
ZAF,2000,17.7
AGO,2010,24.8
UGA,2000,29.2
MWI,2021,22.8
TGO,2007,24.4
MLI,2015,26.9
MAR,2000,24.0
UGA,2005,23.3
GNQ,2009,20.2
SYC,2017,21.6
NGA,2008,20.1
NGA,2012,19.1
SYC,2018,26.5
TUN,2002,22.2
SOM,2007,28.0
GNB,2003,27.1
COM,2011,21.2
BDI,2003,30.2
ZWE,2010,31.7
SWZ,2015,41.2
LBY,2021,18.2
SOM,2009,35.2
CMR,2002,27.2
ERI,2002,32.1
BFA,2001,23.5
GNQ,2019,22.1
GNQ,2005,21.9
AGO,2009,25.6
NAM,2000,25.7
CPV,2020,17.4
BEN,2009,24.9
AGO,2020,22.4
AGO,2009,28.0
BFA,2012,25.5
AGO,2007,24.6
CMR,2005,27.5
BDI,2010,24.6
KEN,2002,16.7
CIV,2017,23.6
MOZ,2015,29.6
COM,2017,20.8
MAR,2003,23.6
LBR,2014,21.0
ERI,2009,30.3
LBR,2017,23.6
BEN,2013,25.2
SSD,2013,17.4
NER,2015,21.3
NGA,2017,16.1
AGO,2012,26.9
GIN,2012,26.2
MRT,2004,19.6
AGO,2018,24.0
GNB,2012,24.5
MLI,2006,21.6
MUS,2015,28.8
TUN,2013,19.2
ZWE,2008,30.0
COM,2018,20.5
SOM,2019,32.2
LSO,2002,28.9
ZWE,2013,33.2
ETH,2003,23.6
SWZ,2000,34.8
KEN,2015,17.6
ZMB,2011,20.5
NAM,2015,27.4
TCD,2013,23.1
GNQ,2011,19.4
SYC,2010,21.5
TCD,2015,22.9
MAR,2017,21.8
GIN,2004,25.2
COM,2001,25.5
TUN,2005,21.1
GIN,2006,25.3
NER,2001,21.0
ZWE,2017,33.4
MWI,2017,25.8
TUN,2002,18.2
ETH,2001,24.4
CMR,2000,26.2
CAF,2021,26.9
NAM,2020,28.7
SWZ,2007,41.8
LBY,2018,23.2
ETH,2013,17.1
ERI,2007,30.0
BDI,2008,25.0
GIN,2005,24.9
DZA,2011,14.0
COD,2004,25.6
STP,2004,21.0
TUN,2011,12.4
NER,2009,19.4
KEN,2009,18.1
TUN,2013,15.7
LBR,2003,22.1
DZA,2005,18.2
GMB,2015,25.3
SSD,2000,19.8
CMR,2007,30.8
COD,2007,27.5
ZMB,2000,23.8
BDI,2016,22.9
MOZ,2007,25.5
TUN,2000,22.6
MOZ,2014,38.3
SWZ,2015,29.0
LBR,2006,20.8
MUS,2018,23.0
SDN,2000,26.7
BFA,2008,22.7
CAF,2019,27.3
BFA,2006,28.3
TUN,2018,15.3
UGA,2005,32.2
GHA,2012,25.0
MUS,2004,34.1
EGY,2011,35.0
MLI,2019,25.8
BFA,2011,25.4
COD,2013,25.3
GNB,2001,32.1
GAB,2021,15.8
LBY,2016,19.3
SEN,2006,22.8
LBR,2011,25.1
CMR,2009,24.0
NER,2009,19.7
CAF,2009,33.3
ZAF,2007,28.5
LBY,2017,19.6
GAB,2016,27.2
COD,2002,25.0
RWA,2018,20.4
GAB,2013,18.1
EGY,2013,22.7
BFA,2008,25.2
CIV,2020,23.8
SEN,2019,21.8
MAR,2006,23.7
AGO,2014,20.6
LSO,2008,28.9
BFA,2004,25.4
TZA,2014,16.5
GAB,2006,24.1
RWA,2015,19.0
CPV,2019,12.1
ZWE,2018,33.8
TCD,2000,22.5
DZA,2006,17.9
ZMB,2013,20.2
MLI,2003,25.0
ZAF,2007,22.3
TCD,2019,22.5
BWA,2016,25.7
NAM,2014,19.8
BWA,2020,18.1
GIN,2011,25.6
CPV,2013,12.2
GMB,2010,25.3
SYC,2021,17.8
MAR,2003,23.8
GIN,2014,26.6
CPV,2014,14.5
TUN,2000,14.6
DZA,2020,12.7
DJI,2001,22.4
TUN,2006,17.1
ERI,2021,25.6
TZA,2003,20.9
TCD,2009,25.5
LBR,2017,21.0
BEN,2005,22.1
SLE,2004,27.1
TCD,2003,28.8
BFA,2019,21.6
COD,2005,25.4
SWZ,2019,28.4
MDG,2019,27.2
GNQ,2003,25.2
ERI,2004,30.7
BEN,2012,25.5
TUN,2003,21.6
SSD,2004,18.3
BEN,2011,25.3
MUS,2012,24.0
NER,2021,18.7
SDN,2019,23.1
ZMB,2017,20.4
ZAF,2012,24.7
CAF,2017,38.8
ZMB,2005,23.6
SOM,2007,31.4
CIV,2006,17.4
SOM,2001,29.4
BDI,2002,31.9
SYC,2006,30.9
SYC,2009,28.5
GHA,2010,22.8
RWA,2000,41.3
SWZ,2006,37.4
DZA,2008,17.1
COG,2019,23.0
GAB,2015,23.5
MOZ,2010,27.9
SOM,2013,27.4
SWZ,2001,29.0
SOM,2012,27.1
BDI,2017,24.1
GMB,2006,23.6
STP,2005,20.8
CMR,2001,27.1
GHA,2008,23.3
MWI,2017,23.4
ZAF,2021,24.7
ZWE,2009,30.7
BDI,2015,24.1
BEN,2006,19.6
GAB,2001,26.5
MWI,2010,22.9
ZAF,2019,24.6
COD,2008,27.6
LSO,2012,31.4
GMB,2003,21.6
DZA,2004,17.1
COM,2007,22.0
CPV,2015,14.6
CAF,2016,33.2
GAB,2006,20.6
GAB,2008,22.5
MAR,2013,23.2
GHA,2000,25.3
LBY,2011,21.8
COM,2015,21.5
NGA,2015,18.5
MUS,2009,19.4
COM,2020,21.0
RWA,2008,20.7
MAR,2010,23.1
ZMB,2021,21.6
LBR,2016,22.5
GIN,2016,25.5
STP,2018,20.5
MOZ,2003,27.2
MLI,2014,26.9
RWA,2014,19.1
SSD,2017,16.6
SLE,2019,23.7
LBY,2001,19.4
ETH,2021,17.2
SSD,2009,15.2
ERI,2005,30.6
STP,2016,19.2
CIV,2020,26.1
NGA,2007,20.5
NAM,2004,25.9
MRT,2014,20.2
STP,2000,21.2
LSO,2012,33.4
DZA,2000,19.6
AGO,2008,24.1
LSO,2020,37.5
LBY,2010,20.9
ZWE,2004,29.6
SEN,2004,22.8
SEN,2006,21.9
GNQ,2021,20.9
GIN,2000,23.8
COG,2017,21.7
BWA,2017,19.3
SSD,2014,18.0
LSO,2010,38.0
LBY,2019,22.7
GHA,2019,26.3
GIN,2020,24.7
NGA,2018,16.1
BEN,2003,25.5
GMB,2018,22.9
SSD,2008,20.7
SYC,2020,23.7
MAR,2011,23.2
GNQ,2021,19.9
STP,2002,21.8
GHA,2021,22.2
STP,2019,20.6
MAR,2015,23.4
BDI,2016,25.6
SEN,2007,22.0
TUN,2012,12.2
MLI,2016,25.1
COM,2001,25.3
SSD,2007,14.9
AGO,2014,25.8
CIV,2019,20.6
MAR,2004,23.4
ZAF,2020,23.1
RWA,2009,20.1
ZMB,2008,26.7
SDN,2011,23.7
CPV,2016,12.7
BEN,2021,19.0
COD,2007,26.4
MUS,2020,22.8
MWI,2014,22.2
BFA,2008,28.3
LSO,2008,31.0
SOM,2004,32.3
KEN,2007,17.9
TCD,2018,24.1
STP,2021,19.0
KEN,2014,19.1
MLI,2008,27.3
DJI,2019,19.9
SWZ,2009,41.3
MOZ,2003,20.9
CAF,2001,35.3
TCD,2002,25.8
SYC,2002,31.2
MDG,2010,26.8
SDN,2006,24.9
SYC,2019,26.7
LBR,2019,23.1
TCD,2004,28.3
BWA,2003,21.5
ZWE,2000,26.0
CMR,2008,24.1
DZA,2002,16.0
TCD,2017,24.0
AGO,2016,23.0
EGY,2010,35.6
CPV,2003,13.6
BFA,2013,29.1
BDI,2020,22.3
MWI,2011,24.3
LBR,2014,22.6
TZA,2005,16.5
ETH,2008,19.9
SSD,2005,21.7
GNB,2018,25.7
COM,2009,21.3
CMR,2014,24.6
STP,2000,20.4
MWI,2009,23.3
ZAF,2020,23.9
ETH,2007,20.5
MWI,2004,27.5
ETH,2008,19.8
MDG,2016,27.7
TUN,2019,15.2
SSD,2010,17.2
UGA,2019,25.6
TZA,2006,20.1
SWZ,2013,30.2
BWA,2021,19.0
MLI,2021,20.4
LBR,2017,22.4
EGY,2008,24.0
DZA,2012,16.0
GIN,2003,25.0
EGY,2006,24.2
MRT,2003,16.7
MOZ,2005,28.2
GMB,2000,26.9
BEN,2021,22.7
ZMB,2004,24.4
CPV,2016,14.7
ZMB,2016,20.6
STP,2017,19.5
COD,2006,25.3
CAF,2012,26.1
TCD,2001,22.7
LBR,2015,22.7
CAF,2014,27.0
MDG,2000,30.4
MAR,2009,23.1
TGO,2007,32.0
MAR,2015,22.7
CIV,2013,28.6
BWA,2019,21.7
MRT,2020,17.1
COG,2021,21.4
SWZ,2005,37.7
SDN,2013,22.4
CMR,2006,30.7
MRT,2005,21.1
GHA,2014,28.0
SWZ,2018,43.2
CAF,2002,36.1
SEN,2004,23.7
SSD,2015,19.0
BFA,2003,23.2
CPV,2008,14.7
MWI,2003,25.8
ZAF,2005,23.3
MDG,2013,26.2
BWA,2018,23.9
AGO,2020,25.3
MRT,2015,18.1
BDI,2015,25.3
DJI,2015,21.5
SYC,2003,24.8
NGA,2015,17.4
STP,2012,20.2
ZAF,2013,24.2
MLI,2007,22.1
MWI,2001,26.5
MLI,2008,22.6
AGO,2007,26.6
SEN,2010,23.0
SSD,2010,14.6
MDG,2007,27.1
NAM,2008,23.1
DJI,2013,21.0
DJI,2012,20.9
SEN,2015,23.5
BEN,2008,22.1
ETH,2006,21.0
KEN,2000,15.6
MLI,2002,28.7
TGO,2010,32.1
BDI,2019,22.5
MRT,2015,20.2
LBY,2002,19.4
MDG,2004,30.9
CMR,2018,25.2
BDI,2000,33.6
LSO,2005,33.6
SEN,2021,21.4
MDG,2017,26.6
ZAF,2009,22.4
NGA,2006,17.6
NER,2014,21.4
ZWE,2000,23.5
LSO,2007,31.2
COG,2020,22.4
LBR,2009,23.0
GHA,2006,23.6
ETH,2019,17.1
STP,2016,20.2
GMB,2002,27.1
KEN,2016,17.6
GMB,2007,23.5
ZMB,2015,25.6
MUS,2010,24.3
CAF,2000,36.2
UGA,2011,27.9
MOZ,2018,29.8
GNQ,2005,22.4
GNB,2006,26.2
STP,2006,21.2
SYC,2018,21.7
COG,2001,34.0
ETH,2002,23.0
GAB,2018,17.2
GIN,2008,25.5
CPV,2019,23.2
NAM,2009,28.7
COM,2003,24.2
MDG,2014,28.1
COD,2005,27.9
LSO,2012,30.3
CMR,2003,24.8
COD,2014,26.7
KEN,2021,18.3
GHA,2002,25.2
SYC,2021,13.3
NER,2017,21.2
ERI,2019,27.3
ETH,2002,23.7
MUS,2007,20.9
TZA,2000,19.6
CPV,2010,14.3
MLI,2015,25.4
MAR,2005,23.6
LSO,2001,22.7
AGO,2006,30.3
SOM,2017,29.7
ZAF,2020,22.0
COD,2017,23.6
GAB,2013,22.0
UGA,2001,29.8
TZA,2014,18.1
GNQ,2003,24.0
BEN,2009,22.2
MUS,2007,26.7
GNB,2014,29.6
CIV,2021,21.3
CIV,2010,24.6
MRT,2002,22.5
SDN,2009,24.7
GMB,2004,24.6
UGA,2017,24.6
TCD,2007,25.3
TGO,2004,31.9
GIN,2005,24.8
NER,2006,20.1
TZA,2013,18.2
GIN,2010,27.4
NGA,2010,18.3
EGY,2015,30.1
MDG,2002,28.7
RWA,2021,21.9
DJI,2006,20.9
LSO,2019,41.2
COM,2009,21.5
SSD,2019,25.7
GAB,2020,22.2
SLE,2008,27.0
MLI,2020,25.8
KEN,2017,18.6
ZAF,2004,23.4
AGO,2015,20.7
SWZ,2008,41.8
ERI,2020,27.9
CPV,2016,16.9
KEN,2010,18.6
KEN,2016,18.8
CIV,2000,21.8
LBY,2018,21.4
LSO,2005,28.9
