iso3,year,mal_inc
SWZ,2001,4.740093375
NER,2018,349.7528334
CPV,2016,0.367691199
DJI,2003,3.071763543
DZA,2021,0.0
NGA,2003,382.0879866
GNB,2012,126.5544236
TZA,2022,132.3930445
DZA,2013,0.003545395
GHA,2009,340.4182673
MDG,2017,77.22226814
NER,2006,307.3921646
GNQ,2023,229.8104137
GMB,2004,277.24724
LBR,2001,406.0517945
CMR,2021,270.6524929
SLE,2007,405.146006
ETH,2012,159.6738451
MOZ,2013,372.3830775
LBR,2004,406.1267874
TGO,2000,445.1167268
MDG,2001,65.25567901
GAB,2017,184.6590013
GIN,2023,285.502144
GMB,2020,83.83123328
TZA,2012,121.4475751
MRT,2017,72.78655602
COG,2003,327.9092633
SEN,2002,156.9781585
SDN,2017,56.38232774
ZAF,2006,2.419683721
ETH,2010,153.8421519
TZA,2002,297.3343182
DZA,2012,0.024871853
BEN,2019,399.9118393
MWI,2020,283.0146401
ETH,2009,133.7945578
RWA,2004,122.340729
TCD,2010,244.6646967
GNB,2020,95.17125252
SOM,2003,132.1924761
MRT,2024,69.5535938
SEN,2007,98.56509704
BEN,2013,362.1389931
NGA,2007,400.6095535
GAB,2011,195.4007443
GMB,2013,204.1187954
AGO,2004,312.6468683
AGO,2008,228.0570314
SOM,2012,34.12868465
COD,2005,468.3312791
ETH,2000,189.1843586
TCD,2015,215.0271111
TZA,2005,251.6788289
ERI,2004,5.808836066
DJI,2022,47.66807782
UGA,2022,266.5834318
ETH,2003,208.9400694
CPV,2008,0.268503744
GNQ,2009,303.1568066
CPV,2010,0.354601903
ETH,2011,143.6950999
NGA,2006,398.5742219
GNB,2001,320.1741415
MOZ,2004,459.3048003
ZMB,2008,171.6153442
CPV,2014,0.195189334
TCD,2003,240.3368691
DJI,2015,12.38054661
COD,2002,460.7039366
LBR,2011,299.3768564
BWA,2005,1.201835381
NAM,2024,7.199087298
BWA,2020,1.133538195
COM,2013,76.35250046
MRT,2002,92.58635812
MOZ,2006,417.4201232
SEN,2023,34.68756564
BFA,2016,373.1719736
KEN,2000,220.2574561
TGO,2020,283.9224335
CMR,2022,265.0342957
SLE,2015,367.8219521
TZA,2017,123.1838275
TGO,2004,478.6739525
SSD,2003,329.7816091
MLI,2013,441.0003673
NAM,2015,7.986840709
AGO,2016,189.7796222
RWA,2024,77.13835155
MRT,2003,96.00627541
BFA,2013,487.1444339
COM,2002,63.81022073
AGO,2023,255.4718915
BDI,2012,232.2408628
RWA,2007,88.01726672
UGA,2011,382.8950377
LBR,2006,390.7942223
CPV,2011,0.052641078
CIV,2003,509.6137406
DZA,2008,0.001466887
ZMB,2024,252.4103382
MLI,2011,394.1824
MRT,2001,93.67360035
BEN,2016,415.9183733
MAR,2017,0.0
CAF,2008,465.7435661
MLI,2012,424.2861023
CAF,2010,453.1091176
LBR,2021,216.0652616
MLI,2024,346.2195913
GNQ,2013,333.656956
COD,2015,303.0394902
NGA,2016,284.8254203
RWA,2012,59.68531014
SLE,2022,298.1900264
DZA,2003,0.002645493
ERI,2000,18.99884781
NAM,2012,3.132021359
GAB,2009,147.0332628
DJI,2018,30.90846888
GHA,2023,194.918396
MLI,2007,378.6707326
CMR,2005,435.5784389
TCD,2009,245.1041848
MRT,2019,60.21141041
MRT,2000,96.39398785
ZAF,2002,3.258890519
MLI,2002,405.0914666
NGA,2023,298.9976001
NAM,2001,69.80992937
SSD,2006,292.7595296
SOM,2007,95.9033987
TZA,2019,116.092398
SEN,2001,176.6104223
NER,2007,315.3735012
ZWE,2005,102.5884477
CAF,2023,345.9834408
GIN,2015,384.3909316
GHA,2014,313.806791
BFA,2022,356.2663849
GHA,2016,244.9214645
GNQ,2002,325.0413243
ZAF,2013,1.581051812
SDN,2019,63.16463832
SWZ,2009,0.342552078
BEN,2000,416.003669
NAM,2005,41.83477752
DJI,2011,3.071663239
LBR,2024,172.34109
ZWE,2003,102.5885322
SWZ,2019,0.762794978
MAR,2019,0.0
MWI,2023,291.0135392
AGO,2009,193.5096554
BEN,2023,361.2623993
BEN,2002,453.4631693
SEN,2011,48.30951649
GIN,2003,425.1776704
STP,2011,45.47290855
BDI,2002,388.125259
EGY,2015,0.0
GMB,2016,130.0735757
COM,2004,61.30662093
TGO,2005,481.5060181
NER,2017,367.771494
SLE,2008,427.0981736
STP,2012,66.24823822
LBR,2013,260.7460721
CAF,2013,427.3188181
BEN,2015,390.7645149
GAB,2012,200.1538804
ETH,2016,92.88594821
GNB,2018,71.68055637
MAR,2002,0.000650726
BFA,2010,568.369186
COM,2021,12.87867862
COD,2020,338.9196758
LBR,2010,322.1434924
GNQ,2012,312.7679297
AGO,2021,258.6080753
ETH,2004,217.8836708
EGY,2014,0.0
UGA,2015,288.695679
EGY,2004,0.0
TCD,2012,215.4749261
GAB,2016,182.548162
BDI,2023,323.249095
MLI,2001,396.2160633
SDN,2021,70.36243884
BDI,2006,287.7828189
GMB,2002,293.322029
CAF,2015,410.3099375
ERI,2002,13.71638185
SOM,2001,141.0350587
TZA,2023,138.4507573
AGO,2002,315.6971967
DJI,2000,3.072651616
CMR,2016,268.5342273
COD,2003,467.3582712
TCD,2019,217.2197469
BDI,2015,284.9989772
GAB,2021,189.1920889
GIN,2016,366.519838
SWZ,2018,2.09593645
COD,2010,381.318348
SEN,2008,52.18425924
CPV,2019,0.0
SLE,2016,363.5640182
SDN,2011,32.03359659
LBR,2003,423.2144437
ZAF,2011,1.861678039
GNB,2006,78.21228261
KEN,2009,77.59614091
BDI,2017,346.2885562
GAB,2015,185.3606266
RWA,2013,109.4911902
NER,2013,416.7241634
BFA,2011,554.6817927
ZMB,2020,234.2474145
RWA,2003,139.2213116
CAF,2003,455.2373506
MDG,2000,54.85398761
CIV,2012,375.1917047
CIV,2008,392.9658771
CPV,2013,0.165192449
GNQ,2006,356.6865217
CMR,2015,271.055607
SLE,2013,396.1229964
AGO,2007,269.5338238
COM,2015,2.592605844
GNB,2007,76.50389218
STP,2013,47.85474276
CPV,2023,0.0
CIV,2016,258.1034563
GNB,2023,97.81367448
SOM,2009,38.09675968
NGA,2010,363.3581836
GMB,2011,238.8739091
CMR,2013,271.0968165
SWZ,2016,0.7767304
TGO,2008,396.3294881
SOM,2015,55.21532867
AGO,2020,244.5295723
BWA,2019,0.167515671
KEN,2014,84.43082344
LBR,2020,276.9257688
GHA,2015,275.9898421
TGO,2016,368.5680178
MLI,2023,346.2195915
MOZ,2011,375.9882167
SDN,2018,59.35359768
SEN,2009,32.88483487
CMR,2007,409.947736
COG,2008,226.4142825
SLE,2010,438.8863123
COG,2007,254.971699
AGO,2001,330.8045933
SOM,2008,60.0317206
NER,2004,302.7813701
MDG,2020,138.7306278
ZMB,2000,360.3289041
MLI,2005,419.8340073
BEN,2017,415.7384105
MDG,2005,34.59614673
COM,2000,66.37081475
NER,2012,427.9695499
ZWE,2011,67.44538249
GAB,2024,187.0020335
COG,2019,245.939714
GNQ,2022,237.5643524
KEN,2023,73.77391808
SSD,2007,274.799682
SWZ,2000,2.702378299
BFA,2003,582.1431203
LBR,2017,356.0853913
SWZ,2015,0.993790373
CAF,2009,463.5486149
GNQ,2010,288.3687878
BDI,2007,287.9413478
ETH,2023,109.2392957
SEN,2020,35.58551473
SSD,2004,315.4955156
DJI,2023,45.04206501
GAB,2018,186.7259529
NGA,2002,381.7466329
KEN,2008,79.77661578
EGY,2000,0.0
SLE,2005,401.1913019
TCD,2023,205.1214391
MAR,2003,0.000135266
COG,2012,215.8993345
TCD,2018,224.9858194
COM,2005,60.09344044
TCD,2011,228.3630494
ZAF,2007,1.252162637
GHA,2008,314.5808655
GIN,2017,358.4773325
DZA,2017,0.0
GIN,2012,431.7485199
MDG,2024,255.4457137
MDG,2004,44.82998728
ZMB,2018,221.9995372
MWI,2006,359.1515831
ERI,2003,19.84439651
ZMB,2014,237.4727396
ZMB,2007,194.6593278
COD,2017,324.0694053
MWI,2024,294.5279965
UGA,2005,426.2721027
SWZ,2002,2.258607147
STP,2007,14.26643646
CIV,2010,458.1223177
NER,2015,404.9041255
SOM,2016,55.24840509
ERI,2013,16.03878531
SDN,2014,37.1022384
MAR,2004,3.3e-05
COG,2004,325.7928501
CIV,2013,287.3865774
SLE,2023,284.0818617
GMB,2024,75.44419593
NGA,2011,339.5066275
BWA,2002,3.169246038
MAR,2009,0.0
ETH,2008,96.30427143
LBR,2015,318.1345533
DZA,2024,0.0
LBR,2005,403.1845972
BDI,2001,416.1189503
BDI,2003,343.447836
GIN,2021,294.4452917
CIV,2024,267.9490628
ZWE,2000,102.5884426
NGA,2021,299.2711055
ZAF,2014,2.1054116
BWA,2008,1.900539221
DJI,2009,3.929359307
