iso3,year,physicians
TGO,2018,0.74
MLI,2011,1.11
SYC,2009,11.0
ETH,2005,0.31
TUN,2004,9.65
CMR,2022,1.36
KEN,2022,2.36
CMR,2010,0.87
NER,2018,0.37
MLI,2024,3.17
MRT,2021,2.19
MOZ,2018,0.85
NGA,2022,3.86
ETH,2008,0.24
GHA,2004,1.48
CPV,2012,5.08
NER,2015,0.32
UGA,2017,1.72
ERI,2011,0.45
BWA,2018,4.02
ZWE,2020,1.7
GHA,2021,1.28
TUN,2023,12.38
ZAF,2010,7.05
EGY,2021,11.8
TUN,2003,8.13
CIV,2018,2.04
TGO,2022,0.8
ZAF,2019,7.79
NGA,2008,3.59
ETH,2018,0.75
SWZ,2001,1.7
UGA,2022,1.91
BFA,2018,0.82
DZA,2017,18.91
ETH,2007,0.22
GAB,1994,2.53
DZA,2012,16.88
CMR,2018,1.31
GHA,2015,1.14
LBR,2008,0.13
BEN,2023,2.16
DZA,2004,11.56
CIV,2004,1.06
BWA,2019,3.95
CPV,2016,7.96
SEN,2020,0.82
CPV,2022,7.18
COG,2010,1.11
BWA,2022,4.07
ZAF,2008,6.79
COM,2009,1.99
ERI,2003,0.42
GHA,2023,2.66
CAF,2009,0.45
MUS,2009,11.53
TZA,2002,0.23
MDG,2012,1.36
ZWE,2019,1.66
TUN,1994,5.93
TUN,1991,5.29
STP,2022,4.64
LSO,2022,2.35
ETH,2004,0.26
SLE,2019,0.33
CPV,2020,7.25
MOZ,2020,0.84
MRT,2004,1.09
MLI,2010,0.96
GHA,2011,0.95
SEN,2021,0.99
MAR,2012,4.78
ZMB,2021,2.95
ETH,2023,1.43
GNB,2023,1.43
SOM,2014,0.48
NGA,2013,3.63
DZA,2020,19.01
EGY,2003,4.94
MAR,2021,7.55
CMR,2020,0.98
KEN,2013,1.93
COM,2020,4.41
MLI,2006,0.57
ZAF,2013,7.29
NER,2012,0.53
MUS,2010,11.69
KEN,2011,1.77
MRT,2019,2.01
UGA,2015,0.97
MAR,2006,5.94
ERI,2001,0.41
ETH,2006,0.26
MLI,2018,1.2
ERI,2010,0.44
SWZ,2009,1.57
GNB,2015,1.98
AGO,1997,0.6
BWA,2021,4.22
UGA,2005,1.2
TGO,2017,0.72
MUS,2021,29.5
ZWE,2010,1.21
ZWE,2014,1.19
BEN,2022,2.05
DZA,2015,18.35
MUS,2006,11.08
SWZ,2018,2.38
NGA,2006,3.33
NER,2014,0.27
MLI,2022,1.91
CIV,2019,1.49
DJI,2004,1.56
