iso3,year,tb_inc
CMR,2019,168.0
BWA,2012,536.0
MOZ,2001,338.0
CMR,2016,202.0
GNB,2004,273.0
DJI,2000,2700.0
BFA,2006,82.0
MAR,2023,97.0
COG,2001,550.0
SSD,2020,346.0
ZAF,2008,1270.0
MWI,2001,395.0
SEN,2023,133.0
LBY,2023,57.0
LBY,2018,37.0
MOZ,2000,336.0
CMR,2021,150.0
ETH,2016,189.0
MDG,2012,227.0
LSO,2010,1180.0
SYC,2001,22.0
GMB,2023,142.0
GNB,2022,180.0
ETH,2024,141.0
GNQ,2021,211.0
TZA,2016,287.0
KEN,2009,566.0
MWI,2013,261.0
SDN,2001,139.0
DJI,2023,477.0
GMB,2008,183.0
TUN,2023,38.0
CAF,2017,483.0
MRT,2003,210.0
CIV,2022,107.0
BEN,2004,82.0
DZA,2008,95.0
ZWE,2017,221.0
MWI,2009,356.0
DZA,2016,76.0
LBY,2000,59.0
TZA,2014,327.0
NAM,2013,710.0
TZA,2018,253.0
BWA,2007,714.0
GIN,2003,154.0
TGO,2023,47.0
SWZ,2019,363.0
GHA,2007,196.0
CIV,2016,153.0
MAR,2013,97.0
LBY,2012,38.0
AGO,2018,403.0
KEN,2003,610.0
BWA,2021,241.0
MUS,2017,14.0
ERI,2012,261.0
SYC,2005,16.0
SYC,2022,13.0
GNB,2002,245.0
CAF,2006,603.0
EGY,2001,21.0
CPV,2019,57.0
MWI,2012,291.0
GHA,2011,178.0
MAR,2016,101.0
LSO,2024,548.0
NGA,2011,219.0
BEN,2020,48.0
SEN,2011,179.0
AGO,2007,509.0
SSD,2021,339.0
SEN,2021,136.0
UGA,2010,210.0
BEN,2014,66.0
GAB,2016,475.0
GAB,2015,488.0
GAB,2004,361.0
GNB,2006,286.0
SYC,2010,18.0
