iso3,year,tb_inc
SDN,2018,71.0
NAM,2015,639.0
GMB,2014,175.0
MRT,2011,134.0
SDN,2009,121.0
GAB,2007,405.0
ETH,2001,462.0
RWA,2024,62.0
DJI,2003,1780.0
GNQ,2004,298.0
MAR,2001,110.0
SEN,2022,134.0
SEN,2020,139.0
GNB,2000,202.0
LSO,2021,606.0
BDI,2020,97.0
LBR,2024,207.0
ZAF,2016,805.0
KEN,2002,534.0
ZWE,2021,198.0
TCD,2011,166.0
GNQ,2019,220.0
SOM,2021,167.0
SSD,2019,353.0
NGA,2022,219.0
GNQ,2008,275.0
SOM,2007,287.0
DJI,2005,1530.0
MAR,2000,114.0
CIV,2013,184.0
TZA,2023,183.0
CMR,2020,158.0
SLE,2006,535.0
SYC,2019,12.0
CIV,2011,201.0
COG,2008,448.0
GNQ,2023,203.0
GMB,2016,170.0
ZMB,2000,759.0
LSO,2008,1240.0
NGA,2014,219.0
CMR,2009,278.0
UGA,2021,199.0
UGA,2013,203.0
TUN,2003,42.0
MWI,2016,176.0
ETH,2002,437.0
COD,2014,461.0
MWI,2003,403.0
DJI,2020,366.0
BWA,2003,863.0
MLI,2006,78.0
LBR,2009,329.0
BFA,2001,91.0
LBR,2000,115.0
STP,2020,69.0
ZMB,2008,534.0
BEN,2017,56.0
CMR,2008,280.0
GNB,2010,266.0
AGO,2020,373.0
NGA,2012,219.0
SOM,2023,157.0
TGO,2021,47.0
SWZ,2022,335.0
MOZ,2023,361.0
DJI,2011,1140.0
MAR,2009,96.0
BWA,2019,306.0
ERI,2024,115.0
SEN,2004,184.0
STP,2013,159.0
STP,2002,220.0
COM,2014,42.0
AGO,2001,336.0
COG,2023,298.0
AGO,2019,390.0
BEN,2011,76.0
BFA,2003,87.0
SYC,2011,22.0
MLI,2019,57.0
BWA,2013,503.0
BEN,2015,62.0
ERI,2014,186.0
NGA,2006,219.0
LBY,2017,34.0
SLE,2023,380.0
LBR,2008,320.0
MAR,2003,102.0
CPV,2024,47.0
CIV,2023,103.0
MDG,2017,215.0
DJI,2022,462.0
TUN,2020,41.0
TGO,2017,54.0
NAM,2014,674.0
ZWE,2023,209.0
GAB,2018,440.0
GNB,2015,209.0
GIN,2015,177.0
TGO,2005,86.0
EGY,2022,11.0
TGO,2015,62.0
ZWE,2020,189.0
KEN,2015,380.0
MAR,2021,89.0
NAM,2024,422.0
ETH,2003,412.0
DZA,2024,54.0
COM,2017,40.0
ERI,2010,258.0
STP,2019,108.0
DJI,2019,389.0
SSD,2017,368.0
TUN,2009,36.0
BDI,2001,209.0
AGO,2017,418.0
GIN,2024,178.0
COD,2021,401.0
BWA,2023,175.0
BFA,2013,71.0
TUN,2018,43.0
SLE,2002,580.0
SDN,2020,62.0
RWA,2013,70.0
NER,2010,126.0
LBY,2005,64.0
CPV,2003,156.0
LBY,2013,35.0
TCD,2021,127.0
UGA,2020,199.0
ZMB,2009,514.0
MDG,2020,214.0
MOZ,2004,341.0
MUS,2005,22.0
COD,2020,409.0
ERI,2009,281.0
SLE,2018,420.0
MWI,2020,138.0
DZA,2017,75.0
MLI,2002,78.0
COM,2021,32.0
ZWE,2005,588.0
TCD,2014,162.0
BDI,2011,148.0
KEN,2007,618.0
TGO,2006,90.0
SWZ,2008,1390.0
LBR,2002,186.0
GNB,2020,186.0
GHA,2008,191.0
SDN,2000,148.0
ZAF,2002,971.0
MDG,2008,236.0
TCD,2008,150.0
MOZ,2002,339.0
CMR,2023,137.0
TZA,2005,510.0
MAR,2017,98.0
CAF,2021,446.0
BEN,2018,53.0
GNB,2005,281.0
CPV,2016,70.0
BDI,2017,112.0
KEN,2001,499.0
DZA,2001,111.0
MOZ,2022,361.0
GNQ,2013,248.0
MUS,2014,16.0
GMB,2001,189.0
EGY,2000,21.0
COD,2016,443.0
GNB,2013,230.0
SLE,2017,429.0
GIN,2022,179.0
GNQ,2012,253.0
EGY,2007,17.0
KEN,2017,319.0
GNQ,2000,323.0
DJI,2009,1320.0
LBY,2009,53.0
ZWE,2013,304.0
TGO,2024,48.0
CIV,2000,166.0
MUS,2009,17.0
CIV,2010,209.0
KEN,2019,267.0
SYC,2015,7.5
ETH,2004,388.0
COM,2009,44.0
TCD,2018,139.0
CMR,2005,255.0
DZA,2006,107.0
GIN,2009,190.0
RWA,2001,215.0
BEN,2006,84.0
TCD,2019,135.0
LBY,2015,32.0
NER,2015,98.0
BWA,2016,405.0
SLE,2005,546.0
CMR,2006,271.0
LSO,2019,654.0
ZAF,2021,513.0
