iso3,year,tobacco
DZA,2030,0.5
LBR,2020,10.6
ZWE,2005,2.0
ZWE,2020,0.9
GHA,2025,2.4
CIV,2000,19.0
DZA,2007,1.1
TGO,2025,9.4
MLI,2005,1.4
BEN,2010,12.7
TUN,2025,2.2
GMB,2007,0.8
MDG,2020,1.3
CMR,2015,14.4
BWA,2007,31.2
MOZ,2024,1.9
MUS,2022,33.9
ZWE,2024,9.9
EGY,2022,24.4
MWI,2030,6.3
LSO,2007,20.3
BEN,2010,1.1
ETH,2024,6.1
MUS,2010,41.1
MLI,2030,10.0
ZMB,2023,2.7
BFA,2000,17.7
MOZ,2025,1.8
COG,2005,20.5
DZA,2022,0.7
LBR,2030,6.7
MDG,2000,20.6
MLI,2025,11.5
BDI,2030,12.7
ZAF,2010,36.3
TCD,2010,15.9
BWA,2010,6.8
TCD,2010,2.4
NGA,2024,3.0
MLI,2025,0.5
STP,2020,1.1
MRT,2030,14.5
MWI,2022,1.8
MRT,2025,8.8
GHA,2023,2.5
COG,2020,1.3
SYC,2015,6.0
CMR,2015,7.5
COD,2007,2.7
MUS,2007,23.7
GMB,2030,0.4
MWI,2000,21.1
MUS,2030,29.9
LSO,2025,44.8
MOZ,2005,48.7
SWZ,2024,17.0
RWA,2025,7.8
BWA,2025,14.4
SYC,2007,39.2
MRT,2024,16.0
GMB,2000,18.0
COG,2022,15.0
BDI,2007,12.3
LBR,2022,9.7
ETH,2015,6.9
MAR,2015,14.8
BWA,2007,7.9
TGO,2005,8.8
NGA,2010,4.8
GHA,2024,4.4
BEN,2015,6.1
GMB,2030,18.3
TGO,2024,9.7
BDI,2024,8.2
SEN,2025,0.6
CMR,2015,0.5
BDI,2010,2.4
SWZ,2020,9.3
NER,2030,0.5
ZAF,2005,35.5
CPV,2030,2.3
TCD,2025,7.3
GNB,2025,0.3
CIV,2015,10.3
RWA,2030,5.5
EGY,2007,41.0
MWI,2025,13.8
LBY,2000,0.3
GAB,2015,3.2
SLE,2010,22.9
COD,2025,1.8
LBY,2015,0.2
CPV,2000,20.0
BEN,2000,8.7
GNB,2020,8.9
DZA,2023,34.1
COG,2024,30.0
ZAF,2030,24.1
KEN,2020,8.5
MWI,2000,34.5
COM,2007,6.2
ETH,2005,7.9
BWA,2020,27.0
ETH,2023,6.2
DZA,2025,34.2
NGA,2022,3.2
EGY,2030,0.3
CPV,2022,2.7
SEN,2005,1.0
NGA,2000,12.6
STP,2022,1.1
TZA,2015,19.5
COD,2030,16.6
ZAF,2007,22.8
CMR,2005,0.8
GMB,2010,28.1
STP,2025,1.0
LBY,2010,55.0
TGO,2015,12.4
LBY,2022,46.5
LSO,2005,20.1
ZWE,2030,8.4
CPV,2007,10.6
LSO,2000,0.4
SWZ,2025,9.4
MOZ,2005,7.1
STP,2005,9.7
NGA,2007,5.3
STP,2030,0.9
EGY,2007,0.6
MOZ,2022,9.2
MWI,2025,1.5
MUS,2015,3.3
SLE,2024,17.3
UGA,2015,9.2
ETH,2005,4.3
SWZ,2030,1.7
MRT,2024,1.9
CMR,2025,9.6
SEN,2020,0.7
KEN,2007,25.8
BEN,2030,0.6
CPV,2022,12.5
ZMB,2030,21.2
GMB,2023,0.5
GNB,2024,8.0
ZAF,2020,38.0
ETH,2030,3.4
MRT,2022,2.0
GMB,2022,0.5
BDI,2024,2.0
CIV,2024,7.2
BWA,2005,8.7
RWA,2025,3.7
KEN,2005,27.7
LSO,2022,1.4
BEN,2000,16.0
BWA,2025,3.2
TUN,2007,3.1
LBR,2023,9.3
EGY,2010,42.5
MUS,2022,2.6
MOZ,2030,1.2
LBY,2005,29.9
MUS,2005,4.5
GNB,2025,7.8
ZAF,2015,23.2
MAR,2022,13.0
SYC,2022,4.6
TGO,2020,0.5
GHA,2000,5.9
TGO,2030,0.3
TCD,2020,7.9
MUS,2024,2.5
ETH,2022,0.9
NER,2030,11.4
SYC,2024,30.4
BDI,2023,2.0
EGY,2023,0.4
STP,2024,5.6
TGO,2025,4.9
MLI,2022,12.4
MRT,2015,2.6
CPV,2015,14.5
LBY,2023,0.2
NGA,2000,0.8
GMB,2010,0.7
GAB,2023,19.6
TCD,2022,7.7
LBR,2015,1.7
SLE,2007,26.8
UGA,2024,6.1
GAB,2025,19.4
COG,2015,1.5
MDG,2030,15.3
LSO,2005,0.6
