iso3,year,tobacco
TGO,2023,10.0
SEN,2022,5.8
NGA,2007,0.6
LBR,2022,5.5
BDI,2000,27.2
SLE,2015,7.4
UGA,2000,7.6
LSO,2020,1.2
MLI,2030,5.2
DZA,2005,16.7
BFA,2005,5.3
TUN,2023,2.3
LBR,2020,1.4
COG,2015,13.1
COG,2022,1.3
SYC,2023,30.7
MAR,2025,12.3
UGA,2005,5.7
BFA,2022,2.7
COD,2025,9.7
LSO,2005,39.6
ETH,2023,0.9
TZA,2023,11.8
BWA,2022,26.4
GAB,2007,19.5
RWA,2010,33.0
LBR,2022,1.3
CMR,2030,0.3
LBY,2024,0.2
MWI,2030,1.1
ETH,2024,3.5
SLE,2030,12.6
EGY,2005,0.6
LBY,2020,0.2
KEN,2005,1.8
CMR,2007,20.4
TZA,2000,50.7
NER,2023,6.1
LBY,2000,32.3
MDG,2005,19.5
CMR,2030,4.1
BDI,2005,2.7
MRT,2000,24.1
ETH,2020,3.7
ZWE,2020,21.1
SLE,2005,29.8
CMR,2000,14.4
TUN,2005,3.2
CPV,2015,8.9
ZMB,2025,22.3
GAB,2020,2.8
CIV,2007,27.0
SLE,2010,9.2
ZAF,2023,8.6
COG,2020,14.4
ZMB,2007,27.0
NER,2024,6.1
SLE,2000,38.2
SLE,2010,36.6
LSO,2022,22.6
CPV,2030,6.5
KEN,2025,1.0
COD,2023,1.9
TCD,2022,13.5
BDI,2030,7.3
COG,2010,1.7
MOZ,2030,6.6
MOZ,2010,47.8
KEN,2005,14.8
GHA,2030,3.5
LSO,2020,22.3
BEN,2015,11.4
LBR,2000,27.2
MLI,2005,19.9
COD,2000,3.3
COG,2007,21.2
UGA,2023,10.7
MLI,2007,10.0
BFA,2030,11.1
COM,2025,12.3
GAB,2023,11.0
COD,2020,18.6
TZA,2005,36.9
COM,2000,23.4
LBY,2023,23.0
KEN,2030,10.9
TUN,2023,45.6
DZA,2025,0.6
COM,2007,15.3
SLE,2007,10.5
SEN,2015,0.8
TZA,2022,12.5
GAB,2000,5.2
BDI,2015,2.2
ZMB,2007,15.7
LSO,2022,43.9
MOZ,2000,10.2
TZA,2015,1.6
GHA,2015,3.4
MRT,2020,2.2
RWA,2024,8.4
SYC,2007,23.7
TZA,2024,1.3
SWZ,2015,2.2
KEN,2015,1.3
RWA,2023,4.2
COM,2000,32.2
RWA,2030,2.7
SLE,2015,17.7
GMB,2015,12.9
ZAF,2022,38.4
BWA,2007,19.5
COG,2023,1.2
CPV,2005,11.1
CIV,2007,14.3
GNB,2023,0.4
ZAF,2007,9.9
COD,2010,2.6
MWI,2020,2.1
TCD,2020,1.9
COM,2023,0.9
ZAF,2024,39.0
MAR,2023,12.8
GHA,2007,4.6
GNB,2005,0.8
LBY,2005,0.3
EGY,2000,0.8
ZAF,2030,8.1
RWA,2007,39.1
DZA,2020,33.6
LBY,2010,27.6
MWI,2020,16.6
DZA,2007,32.4
EGY,2024,25.0
MLI,2024,11.7
MAR,2030,1.0
LBR,2025,4.8
BEN,2010,6.9
LSO,2030,2.1
LBR,2015,7.5
LBY,2015,51.2
SLE,2025,16.4
COD,2024,17.6
MDG,2007,2.2
MLI,2000,1.8
GAB,2007,4.1
MAR,2010,31.0
MRT,2025,1.9
GAB,2024,2.5
CMR,2005,22.2
SWZ,2025,17.0
TZA,2024,11.1
RWA,2020,11.2
RWA,2000,36.7
NER,2015,12.0
GMB,2024,20.8
SEN,2025,5.2
CPV,2023,7.5
ETH,2010,4.1
COG,2030,1.1
STP,2023,10.1
BDI,2025,14.1
GNB,2023,8.2
BFA,2020,15.2
STP,2015,5.6
ZMB,2030,11.7
EGY,2015,22.6
GNB,2022,8.5
ZMB,2015,14.1
ZMB,2022,23.1
TUN,2020,47.0
COM,2000,14.5
BEN,2025,4.9
MOZ,2000,29.9
TGO,2022,5.3
ETH,2007,7.7
EGY,2020,47.4
MLI,2023,6.3
RWA,2030,8.2
CPV,2007,4.0
TCD,2023,7.5
LSO,2024,23.0
BDI,2023,14.7
COD,2020,10.3
LBY,2023,45.9
SEN,2025,9.8
MOZ,2000,49.7
TUN,2005,28.1
TZA,2000,26.6
DZA,2022,33.7
COD,2000,14.3
MWI,2024,7.9
LBR,2023,5.3
SYC,2022,17.8
MWI,2023,14.8
CMR,2007,10.6
BFA,2023,8.2
BFA,2025,2.4
BDI,2025,1.9
COM,2020,14.8
UGA,2030,1.4
CIV,2010,12.6
NER,2023,0.6
NER,2022,6.1
MRT,2000,14.2
BWA,2024,3.4
GMB,2005,16.1
GAB,2010,19.5
MUS,2020,18.9
TCD,2015,8.4
EGY,2020,23.9
GHA,2023,0.5
TCD,2024,13.0
CMR,2023,5.4
SYC,2015,20.3
MLI,2020,0.7
SEN,2023,5.6
GHA,2020,0.5
SLE,2000,14.2
GNB,2007,12.8
CPV,2024,2.6
SYC,2000,44.2
BDI,2007,2.6
ZWE,2022,10.4
COM,2030,5.3
ZWE,2007,30.1
SWZ,2015,16.4
COG,2010,12.1
ZWE,2025,9.6
ETH,2000,4.6
GHA,2030,2.0
LBR,2020,6.0
MRT,2024,9.0
KEN,2030,0.9
CPV,2024,12.1
ZWE,2010,1.5
SWZ,2007,9.3
STP,2000,9.7
SEN,2000,24.6
LBY,2022,0.2
NER,2024,0.6
LSO,2015,21.5
BEN,2015,0.9
CIV,2030,0.9
TZA,2023,6.5
BEN,2020,10.1
STP,2000,5.7
LBR,2005,11.9
RWA,2000,18.7
DZA,2015,33.1
TGO,2030,4.3
MOZ,2020,17.5
MWI,2007,26.7
TUN,2015,2.7
SEN,2030,4.3
MAR,2022,1.3
MUS,2010,3.8
GMB,2022,21.6
TZA,2005,2.1
BEN,2022,5.2
MUS,2025,2.4
SWZ,2020,2.0
MWI,2024,14.2
