iso3,year,uhc_index
RWA,2012,47.0
ETH,2010,22.0
AGO,2015,39.0
ETH,2006,17.0
ZAF,2022,75.0
MAR,2023,65.0
LBY,2016,71.0
GIN,2018,38.0
ZAF,2000,54.0
SEN,2023,48.0
BFA,2008,24.0
SYC,2010,67.0
COD,2014,40.0
GAB,2017,53.0
STP,2008,49.0
MDG,2016,32.0
MOZ,2002,23.0
ETH,2016,30.0
ERI,2003,29.0
STP,2003,44.0
NER,2008,27.0
COD,2001,24.0
SYC,2017,81.0
GNB,2006,35.0
MWI,2000,25.0
GHA,2005,27.0
TCD,2019,24.0
NER,2000,19.0
RWA,2010,44.0
TGO,2004,23.0
CPV,2006,55.0
ZMB,2006,42.0
