iso3,year,uhc_index
NER,2002,18.0
AGO,2020,43.0
NAM,2015,59.0
SEN,2008,36.0
SWZ,2021,67.0
SYC,2016,81.0
LBR,2014,36.0
GAB,2012,54.0
BFA,2019,40.0
ZMB,2002,31.0
TGO,2009,28.0
SLE,2014,43.0
CMR,2011,44.0
DZA,2017,71.0
SOM,2002,14.0
GNB,2009,36.0
ZMB,2000,32.0
TGO,2002,18.0
SOM,2018,29.0
SYC,2018,78.0
NGA,2014,41.0
MDG,2009,26.0
AGO,2022,45.0
NER,2004,19.0
RWA,2022,58.0
NGA,2005,29.0
GNB,2010,37.0
TGO,2019,40.0
ETH,2000,13.0
NAM,2018,58.0
ZWE,2018,54.0
CPV,2002,51.0
GNB,2001,25.0
NER,2021,36.0
ZAF,2005,58.0
SOM,2014,22.0
EGY,2013,74.0
GIN,2012,30.0
MWI,2007,35.0
COD,2018,38.0
COM,2012,44.0
TUN,2004,66.0
TCD,2003,17.0
SWZ,2012,63.0
GHA,2017,50.0
NER,2011,32.0
CMR,2014,47.0
DZA,2020,66.0
DZA,2023,70.0
CAF,2015,32.0
MWI,2022,53.0
COG,2013,43.0
MDG,2000,15.0
CPV,2000,49.0
KEN,2013,53.0
MLI,2013,36.0
MRT,2003,24.0
CAF,2023,39.0
GMB,2004,31.0
UGA,2003,25.0
MWI,2015,45.0
EGY,2009,75.0
TZA,2005,27.0
NAM,2007,57.0
NER,2012,31.0
CPV,2015,65.0
DZA,2000,68.0
TCD,2018,27.0
LSO,2009,43.0
CIV,2006,26.0
COG,2017,38.0
SWZ,2000,51.0
BFA,2011,34.0
CIV,2015,44.0
GHA,2006,31.0
MAR,2017,66.0
RWA,2016,52.0
ZAF,2023,74.0
MUS,2022,75.0
MWI,2005,24.0
ETH,2001,14.0
ZAF,2015,68.0
COM,2000,25.0
ZMB,2004,34.0
GNQ,2012,41.0
SOM,2000,14.0
BEN,2022,35.0
NAM,2002,50.0
GMB,2013,54.0
ETH,2011,24.0
ERI,2020,41.0
BFA,2022,48.0
TGO,2003,18.0
LBR,2001,25.0
TGO,2021,38.0
STP,2019,58.0
ZMB,2001,33.0
MAR,2015,66.0
NGA,2007,30.0
MLI,2012,36.0
CAF,2002,23.0
TZA,2017,44.0
SYC,2003,63.0
MDG,2005,20.0
BEN,2006,25.0
NAM,2006,56.0
ERI,2017,41.0
ERI,2012,39.0
LBY,2014,70.0
LSO,2018,55.0
SSD,2011,26.0
KEN,2016,55.0
GAB,2013,54.0
TGO,2012,36.0
UGA,2011,39.0
CAF,2020,34.0
SOM,2013,24.0
LBY,2017,71.0
DJI,2000,31.0
TUN,2008,67.0
ZWE,2002,33.0
LBR,2011,36.0
CAF,2019,31.0
CMR,2007,34.0
SDN,2023,48.0
COD,2009,33.0
BWA,2005,50.0
STP,2006,48.0
MAR,2016,66.0
MDG,2013,29.0
MUS,2010,70.0
SEN,2007,34.0
NER,2015,34.0
GHA,2012,44.0
TZA,2023,49.0
LSO,2010,44.0
COM,2020,54.0
LSO,2008,42.0
SWZ,2014,67.0
GAB,2021,48.0
LBR,2023,49.0
BEN,2002,22.0
GHA,2016,50.0
SSD,2013,33.0
CMR,2012,46.0
COD,2010,33.0
MDG,2021,34.0
SLE,2010,31.0
GNQ,2019,48.0
SEN,2015,42.0
UGA,2020,52.0
SYC,2011,72.0
GAB,2014,53.0
NER,2013,30.0
DJI,2002,32.0
UGA,2007,34.0
SSD,2021,41.0
ETH,2023,33.0
GMB,2008,50.0
EGY,2003,74.0
ZWE,2008,39.0
MOZ,2001,23.0
AGO,2002,30.0
GNQ,2008,35.0
COM,2009,41.0
STP,2007,48.0
BEN,2000,25.0
MRT,2002,23.0
CIV,2008,31.0
UGA,2013,47.0
MAR,2019,65.0
CMR,2003,29.0
MUS,2015,74.0
NAM,2017,60.0
BEN,2016,26.0
TCD,2006,18.0
CMR,2018,45.0
SDN,2003,27.0
NGA,2010,39.0
COG,2008,32.0
BFA,2010,32.0
UGA,2017,51.0
BDI,2013,45.0
SDN,2015,45.0
BWA,2011,56.0
SDN,2016,46.0
MLI,2004,25.0
ZAF,2009,62.0
MWI,2021,55.0
RWA,2011,45.0
SSD,2004,22.0
COM,2004,36.0
CIV,2013,37.0
CIV,2020,43.0
CPV,2012,62.0
COG,2002,26.0
DJI,2022,48.0
BWA,2000,41.0
SEN,2009,39.0
NER,2023,39.0
TGO,2001,20.0
SYC,2020,79.0
SYC,2002,62.0
ZWE,2016,53.0
MAR,2011,64.0
GHA,2008,37.0
NAM,2008,57.0
BDI,2020,48.0
COG,2014,42.0
COD,2013,39.0
SDN,2013,45.0
STP,2013,51.0
STP,2001,42.0
ZMB,2023,62.0
MOZ,2015,45.0
EGY,2001,73.0
MAR,2003,56.0
GNB,2013,40.0
COM,2022,53.0
BFA,2004,16.0
MWI,2012,45.0
COD,2016,40.0
SOM,2004,14.0
MAR,2001,55.0
UGA,2015,49.0
MRT,2014,29.0
GNQ,2005,25.0
BFA,2015,39.0
SLE,2015,43.0
GMB,2018,48.0
LBR,2010,38.0
ZAF,2013,65.0
MRT,2019,38.0
CAF,2010,30.0
DZA,2016,72.0
GNQ,2001,24.0
MRT,2010,33.0
DJI,2018,49.0
ZWE,2011,43.0
AGO,2008,38.0
SYC,2023,80.0
GNQ,2009,35.0
MLI,2001,23.0
KEN,2019,52.0
TUN,2021,75.0
MAR,2007,60.0
MLI,2020,42.0
NGA,2011,40.0
NGA,2008,30.0
SSD,2018,35.0
CPV,2018,66.0
TUN,2019,75.0
DJI,2013,42.0
CAF,2014,31.0
BWA,2004,50.0
SOM,2005,15.0
SSD,2001,21.0
SYC,2007,66.0
GIN,2000,19.0
SWZ,2006,63.0
SWZ,2005,61.0
ZAF,2007,60.0
DJI,2014,43.0
DZA,2012,65.0
NER,2005,22.0
BDI,2008,38.0
NER,2018,35.0
ERI,2008,36.0
LSO,2016,56.0
TZA,2004,25.0
NGA,2021,47.0
EGY,2018,72.0
MWI,2009,41.0
NAM,2012,58.0
EGY,2016,73.0
COD,2017,40.0
DJI,2007,35.0
BFA,2005,19.0
MUS,2021,76.0
CMR,2020,47.0
GNB,2012,42.0
EGY,2000,73.0
UGA,2012,38.0
COG,2007,31.0
CAF,2018,31.0
AGO,2005,31.0
MDG,2007,24.0
LSO,2004,35.0
MAR,2018,65.0
STP,2011,51.0
TZA,2018,42.0
TZA,2013,42.0
BWA,2009,55.0
GMB,2020,48.0
UGA,2005,28.0
KEN,2015,53.0
MUS,2009,70.0
MDG,2022,34.0
MRT,2020,38.0
CAF,2003,23.0
MDG,2011,27.0
CPV,2014,63.0
LSO,2011,47.0
AGO,2018,41.0
GAB,2007,55.0
TCD,2012,25.0
TGO,2000,21.0
MWI,2016,50.0
MUS,2013,72.0
GNQ,2006,27.0
LBY,2022,71.0
EGY,2005,74.0
CMR,2016,47.0
MRT,2001,23.0
CMR,2002,30.0
ETH,2020,30.0
SDN,2014,46.0
ZWE,2007,38.0
TUN,2007,67.0
CAF,2017,32.0
SWZ,2001,54.0
RWA,2007,36.0
ERI,2001,25.0
SEN,2002,25.0
DJI,2006,33.0
MRT,2017,39.0
TUN,2000,61.0
TUN,2023,76.0
STP,2017,53.0
GAB,2020,50.0
BDI,2018,46.0
MDG,2008,25.0
BEN,2007,30.0
GMB,2011,52.0
TUN,2003,63.0
TUN,2016,73.0
MOZ,2004,24.0
EGY,2010,74.0
SWZ,2008,64.0
MWI,2017,52.0
NGA,2009,35.0
BEN,2014,30.0
TZA,2008,32.0
KEN,2006,41.0
GNB,2002,26.0
SSD,2015,31.0
ERI,2015,38.0
UGA,2021,53.0
GIN,2008,24.0
GMB,2021,49.0
EGY,2019,72.0
MAR,2009,62.0
ZAF,2018,67.0
ZMB,2010,47.0
LBY,2008,68.0
DZA,2008,69.0
NAM,2023,66.0
TCD,2017,28.0
KEN,2004,31.0
ZWE,2009,42.0
GNQ,2013,42.0
GIN,2016,32.0
SLE,2004,17.0
BDI,2007,37.0
EGY,2017,73.0
LBR,2016,42.0
MLI,2023,41.0
AGO,2003,30.0
GNB,2016,43.0
BFA,2013,38.0
UGA,2002,24.0
CAF,2009,31.0
BEN,2005,24.0
NAM,2022,65.0
TCD,2009,20.0
LSO,2005,37.0
CMR,2006,33.0
SDN,2019,47.0
COD,2007,26.0
GNB,2005,29.0
STP,2020,58.0
ZMB,2015,55.0
MRT,2018,41.0
MOZ,2014,41.0
MUS,2012,71.0
LBR,2007,27.0
MOZ,2021,47.0
ETH,2018,29.0
BEN,2004,24.0
MOZ,2009,33.0
MUS,2016,75.0
MOZ,2006,27.0
LSO,2021,55.0
ZWE,2022,59.0
DZA,2010,70.0
COD,2020,41.0
COD,2003,25.0
RWA,2001,19.0
GNB,2000,25.0
GHA,2009,37.0
BWA,2021,60.0
UGA,2009,36.0
TZA,2009,36.0
BWA,2001,43.0
NAM,2020,61.0
MOZ,2013,38.0
RWA,2013,50.0
TZA,2006,29.0
EGY,2002,74.0
LBR,2006,26.0
COM,2021,54.0
MDG,2015,31.0
TGO,2017,40.0
ZMB,2018,54.0
SOM,2009,21.0
MOZ,2022,49.0
ZWE,2015,49.0
COG,2020,44.0
ZMB,2020,56.0
SOM,2020,29.0
GNB,2020,44.0
GNB,2021,44.0
BFA,2001,18.0
SOM,2001,14.0
COG,2012,47.0
TCD,2015,25.0
ZWE,2014,50.0
ZWE,2021,57.0
CIV,2007,29.0
GIN,2015,34.0
DJI,2004,31.0
LBY,2018,68.0
BFA,2009,25.0
STP,2023,60.0
ERI,2018,40.0
GIN,2002,19.0
SEN,2017,47.0
TZA,2016,43.0
CMR,2017,47.0
BDI,2010,40.0
BDI,2004,23.0
KEN,2014,53.0
GIN,2010,26.0
ZWE,2019,55.0
LBY,2001,67.0
SOM,2017,28.0
RWA,2017,56.0
TGO,2018,39.0
ZMB,2005,37.0
MWI,2008,38.0
BWA,2018,57.0
GNB,2022,43.0
BEN,2013,30.0
CPV,2020,69.0
COM,2019,49.0
GMB,2005,37.0
SDN,2001,27.0
SOM,2006,16.0
LBR,2022,50.0
ZMB,2009,44.0
DJI,2021,47.0
SSD,2000,21.0
LBY,2021,69.0
MRT,2021,39.0
EGY,2020,71.0
MRT,2004,24.0
SLE,2001,18.0
COG,2006,30.0
BWA,2007,53.0
TZA,2010,39.0
SEN,2012,40.0
COD,2022,42.0
SEN,2022,49.0
LBY,2015,71.0
MWI,2019,55.0
COD,2005,25.0
LBY,2013,70.0
DJI,2009,39.0
CAF,2012,28.0
BDI,2009,39.0
SOM,2007,18.0
SYC,2008,66.0
SLE,2006,23.0
GAB,2003,38.0
BEN,2023,38.0
SOM,2003,14.0
GMB,2003,34.0
COM,2007,41.0
NGA,2013,38.0
MUS,2020,77.0
TGO,2023,42.0
AGO,2012,37.0
MDG,2001,15.0
SLE,2002,18.0
ZWE,2000,34.0
GNQ,2011,34.0
BWA,2010,56.0
SSD,2016,35.0
KEN,2017,56.0
LBR,2000,26.0
STP,2012,51.0
NAM,2014,58.0
SSD,2022,39.0
NGA,2016,44.0
GIN,2011,26.0
MDG,2018,32.0
ZAF,2017,68.0
TUN,2014,72.0
LBY,2023,71.0
ERI,2022,40.0
GNB,2003,30.0
BEN,2009,29.0
EGY,2012,73.0
COM,2016,51.0
TCD,2013,24.0
COG,2000,25.0
SLE,2019,42.0
CPV,2013,62.0
BWA,2002,45.0
GAB,2016,52.0
GIN,2020,43.0
GIN,2022,43.0
SWZ,2011,65.0
GNQ,2020,50.0
SSD,2008,28.0
GIN,2021,41.0
ZWE,2020,56.0
GHA,2021,54.0
MUS,2023,75.0
UGA,2010,40.0
BWA,2023,60.0
COG,2018,40.0
NER,2007,28.0
BFA,2017,42.0
LBR,2009,38.0
ERI,2010,37.0
COG,2001,25.0
ERI,2007,35.0
ETH,2008,19.0
TUN,2005,66.0
GHA,2003,24.0
COG,2003,26.0
LBY,2007,68.0
SLE,2017,44.0
DZA,2003,68.0
UGA,2022,52.0
MLI,2003,24.0
TZA,2021,46.0
BDI,2012,47.0
STP,2018,58.0
MLI,2018,41.0
SEN,2001,24.0
TZA,2014,38.0
COG,2016,41.0
SLE,2005,18.0
LBY,2009,68.0
CIV,2003,24.0
BEN,2011,34.0
ZMB,2022,55.0
DJI,2008,40.0
GNQ,2014,42.0
COG,2019,43.0
TUN,2001,61.0
BWA,2015,60.0
NAM,2001,50.0
GIN,2017,37.0
EGY,2006,75.0
LBR,2020,43.0
SOM,2012,23.0
CIV,2011,36.0
KEN,2021,53.0
MRT,2023,40.0
BFA,2018,39.0
TCD,2004,16.0
TGO,2016,36.0
NER,2017,35.0
DZA,2022,70.0
ETH,2009,19.0
LBY,2000,66.0
SSD,2012,29.0
GAB,2019,49.0
RWA,2015,50.0
AGO,2001,29.0
BEN,2003,22.0
GHA,2023,56.0
TZA,2000,20.0
ETH,2014,28.0
BEN,2008,30.0
MWI,2001,23.0
MOZ,2020,48.0
CIV,2021,46.0
COM,2013,47.0
CAF,2007,27.0
MWI,2020,52.0
KEN,2018,54.0
NGA,2000,30.0
SOM,2021,29.0
SDN,2020,47.0
GNB,2015,45.0
CIV,2002,25.0
SOM,2010,21.0
SLE,2011,36.0
SLE,2018,42.0
NAM,2004,53.0
RWA,2009,38.0
BWA,2022,61.0
KEN,2005,36.0
CIV,2019,45.0
LSO,2003,33.0
GAB,2002,37.0
STP,2004,45.0
KEN,2001,28.0
CMR,2022,47.0
STP,2015,52.0
ZMB,2012,51.0
SLE,2021,45.0
COG,2023,45.0
KEN,2020,49.0
EGY,2023,71.0
SLE,2012,38.0
LBY,2010,69.0
NAM,2019,60.0
BFA,2016,41.0
LBR,2003,25.0
LBY,2002,67.0
MUS,2017,76.0
MUS,2006,70.0
SYC,2001,62.0
AGO,2010,38.0
SOM,2015,24.0
SEN,2019,50.0
DJI,2005,32.0
MWI,2013,46.0
MOZ,2016,43.0
MRT,2005,24.0
CIV,2022,46.0
BWA,2016,60.0
GMB,2022,52.0
NAM,2010,58.0
UGA,2014,49.0
ZWE,2001,33.0
MWI,2002,20.0
ZAF,2010,63.0
CPV,2019,67.0
CIV,2010,31.0
SDN,2010,38.0
ZMB,2011,49.0
LSO,2001,32.0
MAR,2014,66.0
TZA,2015,42.0
CIV,2014,43.0
TCD,2002,17.0
RWA,2014,51.0
ETH,2022,31.0
NAM,2011,58.0
BDI,2022,48.0
DJI,2017,47.0
DJI,2015,42.0
MOZ,2018,46.0
LBY,2003,67.0
ERI,2006,33.0
RWA,2002,21.0
SWZ,2009,64.0
SDN,2021,46.0
MUS,2004,70.0
RWA,2023,59.0
DZA,2019,64.0
CIV,2004,24.0
ZWE,2004,34.0
CAF,2022,36.0
MUS,2002,68.0
DJI,2003,32.0
GAB,2005,45.0
COG,2009,31.0
MUS,2014,74.0
BDI,2017,46.0
CPV,2004,53.0
TZA,2007,31.0
SDN,2005,29.0
LSO,2015,55.0
ZMB,2008,45.0
UGA,2006,31.0
KEN,2002,29.0
CPV,2016,66.0
SDN,2004,28.0
ETH,2021,29.0
SEN,2014,41.0
CMR,2001,31.0
STP,2000,41.0
BEN,2010,31.0
BFA,2021,45.0
DZA,2021,69.0
GIN,2007,23.0
RWA,2018,57.0
DZA,2007,69.0
MLI,2014,36.0
COM,2018,48.0
COG,2011,42.0
LBY,2005,68.0
SEN,2011,40.0
EGY,2011,74.0
TUN,2012,70.0
GAB,2018,51.0
MAR,2002,56.0
RWA,2020,56.0
ZWE,2006,36.0
LBR,2013,37.0
MWI,2018,54.0
NGA,2023,47.0
GNB,2014,42.0
CIV,2018,46.0
GNB,2017,45.0
ERI,2004,31.0
ZWE,2010,43.0
MRT,2016,32.0
RWA,2004,20.0
BDI,2016,47.0
TGO,2014,38.0
BWA,2003,47.0
MDG,2003,17.0
LBR,2005,25.0
GHA,2011,39.0
MDG,2010,27.0
GMB,2016,47.0
BEN,2015,30.0
MLI,2017,38.0
SYC,2012,73.0
ZAF,2008,61.0
RWA,2005,22.0
ZAF,2002,55.0
GNB,2011,42.0
LSO,2022,55.0
SSD,2023,41.0
GMB,2015,51.0
SDN,2018,47.0
SSD,2007,26.0
NGA,2017,42.0
GNQ,2018,47.0
MOZ,2007,30.0
ERI,2023,40.0
RWA,2021,55.0
ZMB,2003,32.0
GAB,2006,51.0
MUS,2000,67.0
RWA,2008,36.0
SEN,2016,46.0
SSD,2003,21.0
DZA,2004,68.0
MAR,2022,65.0
CIV,2009,31.0
NER,2019,35.0
TUN,2017,74.0
CMR,2015,47.0
GNQ,2003,23.0
AGO,2013,37.0
ZWE,2023,59.0
ZAF,2003,56.0
CPV,2005,54.0
LSO,2006,39.0
NER,2009,29.0
LBR,2002,25.0
LBR,2004,25.0
MOZ,2011,37.0
CMR,2021,43.0
NAM,2016,60.0
SWZ,2015,67.0
MAR,2021,65.0
COM,2001,27.0
TCD,2008,19.0
DJI,2010,39.0
CAF,2008,30.0
SDN,2007,33.0
DJI,2016,42.0
COD,2021,40.0
ETH,2005,14.0
COM,2005,40.0
NAM,2013,58.0
COG,2004,27.0
ZAF,2014,67.0
ZMB,2013,52.0
