iso3,year,dtp3
DJI,2017,76.0
GIN,2018,51.0
TGO,2013,84.0
CIV,2016,87.0
BWA,2015,95.0
MRT,2008,74.0
MOZ,2010,74.0
NGA,2017,55.0
STP,2010,98.0
NAM,2019,87.0
ETH,2003,37.0
EGY,2013,97.0
TGO,2008,81.0
ZMB,2024,91.0
MOZ,2005,80.0
TZA,2015,96.0
MAR,2003,91.0
SDN,2011,93.0
ZWE,2013,95.0
MDG,2023,65.0
LBR,2007,65.0
GNB,2007,74.0
COG,2010,76.0
CMR,2005,80.0
MAR,2020,99.0
TGO,2002,59.0
NER,2024,86.0
GNQ,2008,50.0
ERI,2005,96.0
ZWE,2003,68.0
CIV,2024,77.0
MDG,2022,57.0
SDN,2024,39.0
CPV,2017,96.0
GHA,2006,84.0
MDG,2007,84.0
TGO,2004,71.0
EGY,2017,94.0
SSD,2015,46.0
MAR,2015,99.0
SLE,2008,77.0
LBR,2021,67.0
EGY,2001,99.0
SSD,2020,67.0
GHA,2005,84.0
ZMB,2002,84.0
RWA,2016,98.0
BWA,2019,95.0
SSD,2023,73.0
AGO,2000,31.0
LSO,2009,91.0
COM,2023,75.0
COM,2004,76.0
GIN,2011,63.0
GIN,2015,48.0
CIV,2002,65.0
STP,2004,96.0
MWI,2022,86.0
SOM,2011,41.0
ZWE,2002,71.0
ZAF,2009,81.0
BEN,2010,76.0
COD,2004,54.0
AGO,2011,50.0
NGA,2003,29.0
BFA,2024,91.0
AGO,2003,46.0
ETH,2007,50.0
NGA,2010,56.0
MLI,2017,77.0
MRT,2018,77.0
GAB,2020,63.0
ZAF,2007,85.0
CIV,2018,83.0
COG,2003,50.0
DJI,2015,84.0
AGO,2018,67.0
COM,2024,75.0
STP,2009,98.0
DZA,2011,95.0
RWA,2011,97.0
LBY,2021,73.0
GNQ,2003,41.0
GIN,2020,54.0
GMB,2003,87.0
SWZ,2010,89.0
MLI,2024,82.0
GAB,2019,70.0
CPV,2000,90.0
GHA,2012,92.0
BWA,2002,97.0
GNQ,2018,59.0
NER,2003,41.0
GHA,2016,93.0
MOZ,2000,70.0
LBY,2005,98.0
ZMB,2021,91.0
LBY,2023,73.0
COM,2021,72.0
GNB,2022,74.0
MRT,2011,75.0
SWZ,2002,85.0
GNQ,2001,37.0
MDG,2005,85.0
GIN,2009,57.0
GIN,2007,63.0
MUS,2018,97.0
KEN,2017,81.0
BFA,2014,91.0
RWA,2019,98.0
GAB,2015,80.0
BEN,2000,78.0
SYC,2024,94.0
AGO,2005,47.0
TZA,2013,91.0
SYC,2016,96.0
COD,2020,70.0
BFA,2007,89.0
MOZ,2011,77.0
MLI,2007,74.0
GNQ,2013,53.0
MOZ,2021,56.0
BFA,2004,79.0
COM,2015,80.0
TUN,2002,96.0
GNB,2023,74.0
EGY,2010,97.0
DZA,2000,86.0
TZA,2004,95.0
BWA,2009,96.0
EGY,2019,95.0
MAR,2001,96.0
MOZ,2016,85.0
COD,2011,70.0
MRT,2023,90.0
UGA,2024,91.0
LBY,2016,97.0
AGO,2002,47.0
LBR,2012,80.0
NER,2016,80.0
MLI,2020,70.0
ZMB,2004,83.0
ETH,2009,58.0
MAR,2023,97.0
MOZ,2020,71.0
ZAF,2005,81.0
LBR,2006,60.0
MUS,2004,98.0
GAB,2021,75.0
LSO,2004,90.0
TCD,2019,53.0
CAF,2000,37.0
COG,2006,74.0
MLI,2012,65.0
RWA,2009,97.0
GHA,2003,80.0
GIN,2001,50.0
MUS,2022,95.0
EGY,2002,97.0
SDN,2003,69.0
MRT,2013,80.0
SDN,2006,78.0
MDG,2001,60.0
ZWE,2018,89.0
MUS,2015,97.0
ZWE,2020,86.0
SOM,2005,35.0
NGA,2018,61.0
ZWE,2021,88.0
SEN,2024,91.0
COD,2000,30.0
TCD,2014,36.0
MUS,2010,99.0
MWI,2018,92.0
LBY,2007,98.0
LBY,2014,94.0
GIN,2003,57.0
ZWE,2017,89.0
SDN,2017,95.0
ETH,2005,43.0
BDI,2018,90.0
LBY,2010,98.0
GNQ,2024,68.0
TZA,2022,87.0
GHA,2015,89.0
BWA,2022,86.0
MAR,2009,99.0
SSD,2018,59.0
LSO,2024,86.0
TUN,2014,98.0
ZAF,2013,81.0
NGA,2019,66.0
COG,2009,80.0
STP,2017,95.0
MLI,2021,77.0
NAM,2004,81.0
LBY,2011,98.0
SWZ,2005,86.0
GNB,2014,86.0
ZAF,2015,85.0
CIV,2021,73.0
CMR,2019,67.0
LSO,2003,90.0
SLE,2021,92.0
CAF,2017,42.0
CAF,2014,45.0
TUN,2013,98.0
STP,2002,92.0
MLI,2009,73.0
ZWE,2008,75.0
SWZ,2018,90.0
AGO,2014,55.0
ZAF,2006,84.0
LSO,2017,89.0
GNQ,2020,64.0
TZA,2021,86.0
TCD,2021,62.0
ERI,2008,95.0
NGA,2002,25.0
LBY,2024,86.0
DZA,2004,86.0
SOM,2003,40.0
UGA,2023,91.0
BDI,2024,89.0
