iso3,year,dtp3
TUN,2008,99.0
STP,2001,92.0
MOZ,2008,75.0
MOZ,2023,70.0
TZA,2005,90.0
BWA,2023,95.0
BEN,2019,72.0
GNB,2011,86.0
GHA,2023,95.0
RWA,2001,77.0
MWI,2007,87.0
UGA,2001,55.0
GNB,2018,82.0
NER,2013,75.0
CAF,2005,54.0
GHA,2000,88.0
MOZ,2017,85.0
CMR,2023,75.0
STP,2019,95.0
GAB,2014,70.0
EGY,2003,98.0
EGY,2024,97.0
MUS,2008,99.0
CMR,2007,82.0
LSO,2012,95.0
TUN,2009,99.0
CPV,2019,96.0
MOZ,2015,85.0
ZWE,2012,95.0
KEN,2014,92.0
ZWE,2011,93.0
CIV,2015,79.0
ZMB,2023,90.0
GIN,2002,53.0
AGO,2010,49.0
NGA,2004,33.0
DZA,2020,84.0
RWA,2020,91.0
GNQ,2002,39.0
GNQ,2021,67.0
CAF,2019,38.0
BDI,2003,82.0
LBR,2017,80.0
DJI,2010,88.0
GAB,2024,61.0
TGO,2024,90.0
GIN,2012,59.0
DJI,2022,59.0
COG,2002,41.0
NAM,2016,85.0
COD,2013,71.0
LSO,2005,89.0
SEN,2007,94.0
TCD,2022,66.0
GMB,2015,97.0
MRT,2012,80.0
NER,2020,81.0
TGO,2010,83.0
GNQ,2019,62.0
ZAF,2016,85.0
CIV,2007,76.0
BWA,2013,95.0
NGA,2008,53.0
SWZ,2000,84.0
GAB,2002,45.0
TCD,2005,26.0
MDG,2019,69.0
DJI,2001,53.0
LBY,2008,98.0
UGA,2005,64.0
MWI,2013,89.0
COD,2008,68.0
DJI,2005,71.0
COG,2024,78.0
