iso3,year,nurses
MWI,2008,257.0
ZWE,2000,1499.0
BFA,2004,708.0
MLI,2010,1536.0
CPV,2021,378.0
LBY,2009,12009.0
BEN,2023,3042.0
SLE,2011,165.0
TUN,2001,7767.0
TGO,2024,564.0
UGA,2012,3370.0
AGO,1997,881.0
TUN,1992,5099.0
RWA,2017,1648.0
LBY,1997,6371.0
BWA,2002,536.0
ZAF,2016,43141.0
GNQ,2017,507.0
MOZ,2013,1452.0
AGO,2009,2956.0
BFA,2017,1626.0
CIV,2014,5240.0
ERI,2004,142.0
NAM,2017,1421.0
BEN,2008,542.0
TUN,1990,4424.0
MDG,2004,2780.0
MRT,2004,313.0
RWA,2014,1008.0
TUN,1998,6819.0
SEN,2021,1707.0
MLI,2007,864.0
BWA,2008,716.0
COD,2009,5832.0
SYC,2018,240.0
MWI,2023,1745.0
GIN,2015,977.0
NER,2017,472.0
KEN,2008,6623.0
TUN,2006,9653.0
DZA,2007,40857.0
CPV,2017,338.0
TUN,1999,7149.0
ZMB,2016,1514.0
COD,2022,21290.0
EGY,2003,38485.0
STP,2019,105.0
MUS,2007,1425.0
SEN,2004,594.0
NER,2009,439.0
ZWE,2004,2086.0
ZWE,2012,1059.0
MAR,2005,17188.0
MUS,2004,1303.0
MUS,2012,1722.0
BDI,2014,609.0
ERI,2017,224.0
TZA,2014,3015.0
LBR,2009,90.0
GAB,1994,277.0
SDN,2004,7552.0
COD,2021,16989.0
MOZ,2010,1145.0
COM,2020,354.0
SLE,2019,256.0
BFA,2008,473.0
AGO,2024,7665.0
NER,2019,888.0
GNB,2009,124.0
LSO,2022,537.0
DJI,2004,129.0
BDI,2024,1169.0
DZA,2006,39459.0
SLE,2022,1106.0
SLE,2010,136.0
MLI,2023,4456.0
GMB,2022,274.0
MUS,2015,2550.0
CPV,2012,260.0
GNB,2021,453.0
COM,2018,220.0
LBR,2008,51.0
GNQ,2022,275.0
ZAF,2010,36912.0
ZWE,2016,2508.0
ZAF,2007,34324.0
CPV,2013,308.0
GHA,2008,1855.0
MLI,2020,3507.0
MRT,2017,791.0
DZA,2011,59618.0
TGO,2016,347.0
DJI,2022,240.0
ZWE,2018,3026.0
CMR,2024,2571.0
COM,2009,128.0
BWA,2006,591.0
ZWE,2022,2766.0
GNB,2011,100.0
NGA,2019,74543.0
GMB,2006,175.0
MRT,2019,897.0
TCD,2016,540.0
ETH,2021,12174.0
BDI,2022,1038.0
COG,1998,2155.0
TUN,2023,15108.0
ZWE,2009,1516.0
CIV,2005,1698.0
BEN,2024,3096.0
COG,2024,3154.0
LBR,2020,777.0
MLI,2013,1971.0
MAR,2013,17121.0
ZWE,2017,2646.0
MWI,2024,1815.0
CIV,2022,4930.0
BEN,2016,1709.0
ZMB,2009,801.0
GHA,2010,2325.0
MRT,2015,692.0
NER,2012,952.0
COM,2004,115.0
ERI,2013,172.0
ZMB,2005,646.0
NER,2013,946.0
GNB,2024,548.0
UGA,2005,3361.0
COG,2016,530.0
MLI,2011,1829.0
BFA,2011,620.0
BFA,2021,2221.0
NGA,2003,34923.0
LBR,2016,234.0
MUS,2000,1080.0
MUS,2006,1400.0
MAR,2001,12955.0
TCD,2022,1506.0
NGA,2009,58363.0
ZAF,2011,37583.0
RWA,2024,2517.0
GAB,2020,1362.0
SEN,2022,2188.0
MLI,2004,721.0
GIN,2018,2787.0
CPV,2015,410.0
ZAF,2022,49533.0
GNB,2023,308.0
GHA,2014,3016.0
MOZ,2021,2611.0
