iso3,year,gghe
BFA,2002,1.05799043
GMB,2021,1.28643787
NAM,2006,5.04455662
GIN,2009,0.26025116
CAF,2010,0.57671779
COD,2017,0.39801776
GIN,2006,0.24835719
DZA,2023,2.30922818
DJI,2003,1.50298142
ZWE,2023,0.94662845
COM,2007,0.56597984
SLE,2005,0.59220541
ERI,2015,0.73755044
LBY,2018,3.48153329
MOZ,2021,2.28472924
BFA,2019,2.23602796
KEN,2011,1.60566163
EGY,2008,1.53611362
GMB,2014,1.09228694
GMB,2005,0.81679177
GHA,2005,1.756845
SLE,2021,1.14799988
MUS,2009,1.57988811
BFA,2023,2.45250058
MDG,2019,0.68268955
DZA,2002,2.59086323
ERI,2003,1.66898465
SLE,2002,0.68559587
BWA,2019,4.37294102
TGO,2001,0.32503283
SYC,2018,3.1646049
CMR,2012,0.64008772
CPV,2022,4.16780281
STP,2018,2.62429023
ERI,2017,1.00827622
LBY,2022,3.14845943
MRT,2016,1.19934916
MOZ,2019,1.8260498
KEN,2005,1.11996722
MAR,2003,0.99790573
NAM,2012,4.80753613
COD,2000,0.06221032
MDG,2006,1.89314044
GHA,2013,1.85814357
SEN,2020,1.72161877
BDI,2022,1.58512878
BDI,2016,2.23587942
KEN,2018,1.7670722
LSO,2014,5.8080492
MAR,2007,1.41620255
GNQ,2020,1.0338515
BDI,2011,3.47107577
COM,2004,0.79133189
UGA,2015,0.75713688
NGA,2003,0.92982918
GMB,2004,0.78081375
GIN,2021,0.68109477
MAR,2018,1.9875257
DJI,2005,1.39653015
DJI,2001,1.25085211
SOM,2016,0.10706647
DZA,2009,3.4677248
NAM,2005,5.24643993
STP,2006,0.54927838
GHA,2014,1.40883136
MOZ,2015,1.78662503
CIV,2015,0.80445331
GNB,2002,0.35467029
KEN,2022,2.00364423
BWA,2013,4.15482092
GNB,2023,0.9383629
STP,2014,2.79643965
GHA,2020,2.52818918
SWZ,2019,4.40824461
MOZ,2003,1.1753726
NER,2009,1.5377779
SEN,2023,1.1920532
GMB,2006,0.88458723
MLI,2005,1.39720833
DZA,2021,2.87333918
GIN,2013,0.48858824
GMB,2001,0.61059773
CIV,2009,0.83744568
GHA,2023,1.86317766
NAM,2002,5.92470026
MUS,2013,1.93168211
LBR,2008,0.91902161
ZAF,2007,3.30013156
STP,2022,2.31201935
GIN,2020,0.77726084
MWI,2003,1.17513871
KEN,2023,1.95431077
UGA,2021,1.14727044
ETH,2005,1.72818744
COD,2012,0.51978379
SDN,2014,1.43453598
UGA,2007,1.03115988
MWI,2007,0.73458099
TCD,2013,0.83544219
LBR,2005,0.54538667
TCD,2020,0.55167967
GAB,2008,1.06247222
MWI,2021,1.36146903
SYC,2014,3.18385339
MDG,2010,1.86784148
GNQ,2009,0.76920271
BFA,2015,1.45618761
ZAF,2014,4.3735652
BFA,2006,1.43097806
COD,2006,0.21125633
RWA,2006,1.48205781
LSO,2000,2.90852237
COD,2018,0.48873118
SLE,2012,0.6394307
STP,2023,2.13394833
SDN,2020,1.04006422
ERI,2000,2.05245161
DZA,2007,2.52639246
COG,2010,0.8283878
TCD,2022,0.92589098
GNQ,2017,0.78999829
MUS,2002,1.68696284
MRT,2004,0.70654863
BWA,2020,4.48994827
GAB,2017,1.75976336
TZA,2010,1.4499774
LBR,2007,0.73447984
SYC,2013,3.20524502
LBY,2019,3.95533991
STP,2008,1.22298861
LBY,2021,4.47216082
TGO,2016,0.97535449
NER,2010,1.31193817
SWZ,2004,3.02394485
ZAF,2013,4.14510202
CPV,2016,2.76934814
BDI,2023,1.34036565
SWZ,2002,2.4225831
ZWE,2017,1.550982
SDN,2000,1.21998167
TGO,2011,1.03214419
NER,2021,2.12211633
MAR,2019,2.02342105
LBR,2010,1.2732017
MAR,2011,1.80912101
SLE,2017,0.54366273
SDN,2019,1.03735721
