iso3,year,gghe
SWZ,2017,3.54254961
TUN,2011,3.45419288
TUN,2003,2.67794108
TCD,2015,0.72352397
COG,2006,0.55492193
BFA,2007,1.43212855
MAR,2000,0.93646741
GNB,2005,0.50890976
CIV,2018,0.89862597
CMR,2010,0.4063552
BWA,2010,3.60705996
TUN,2022,3.9555614
SDN,2013,1.15195048
COG,2016,1.11958003
GMB,2023,1.29954684
TCD,2023,1.26169586
GIN,2008,0.26959306
BFA,2016,2.38693118
UGA,2016,0.78636652
NGA,2020,0.50597858
CAF,2016,0.59953427
MUS,2016,2.44510746
CIV,2020,1.33183074
NER,2023,0.97196257
SWZ,2020,3.53693056
KEN,2002,1.10948944
MOZ,2014,1.71540534
NAM,2022,5.80618477
SDN,2007,2.0494504
NGA,2008,0.66059941
MAR,2006,1.30186176
SEN,2015,1.07820702
ZAF,2012,4.1403532
GAB,2015,1.56549394
MUS,2007,1.47311974
ETH,2007,1.33306754
SYC,2004,3.81282496
CAF,2007,1.27105796
KEN,2010,1.56062746
LSO,2006,3.04879928
MRT,2008,0.8877672
LBR,2016,1.39315951
SOM,2014,0.10548612
ETH,2019,0.73088509
MUS,2017,2.47479272
MDG,2014,1.74814212
LSO,2011,4.93363905
GNQ,2012,0.70269078
AGO,2013,1.5071826
COM,2000,0.89172548
SYC,2003,4.14589357
SEN,2002,1.33993769
BDI,2006,2.36401343
SLE,2022,0.8699919
COM,2008,0.43337327
NGA,2000,0.58559412
UGA,2014,0.95077145
SEN,2010,1.16160142
BEN,2011,0.65150005
SEN,2014,1.080037
COM,2013,0.65978307
NER,2002,1.20736778
NGA,2010,0.44847032
EGY,2014,1.41039252
NGA,2007,0.7786122
MAR,2016,2.00518847
AGO,2023,1.1340301
STP,2002,3.77630806
MWI,2001,0.83659285
COD,2004,0.2026829
KEN,2003,1.12453854
STP,2000,3.51259375
DZA,2017,3.84453487
TGO,2017,1.04958856
MWI,2004,0.85772187
COD,2005,0.20690806
UGA,2023,0.92339057
MRT,2010,0.73150158
KEN,2012,1.62624443
STP,2001,3.70773029
TCD,2007,0.81764281
BEN,2018,0.66673458
SLE,2019,0.77659142
MRT,2011,0.74974972
GNB,2019,0.45877996
SLE,2018,0.49137551
SWZ,2000,2.41081047
AGO,2006,1.28968012
SDN,2005,1.59963596
GNQ,2014,0.65114552
LBR,2004,0.51704127
COD,2022,0.72449565
ETH,2017,0.8612687
NAM,2003,6.06180239
SWZ,2006,3.45948696
COD,2023,0.68990564
BEN,2022,0.50720674
BDI,2007,2.46383238
BEN,2003,1.05233788
COM,2015,0.46612623
LSO,2008,4.36957979
TGO,2008,0.60018307
SLE,2009,0.63343221
AGO,2005,1.14204562
GAB,2013,1.82302928
MAR,2008,1.50152016
GNQ,2021,1.14400554
MDG,2016,2.37194586
LBR,2001,0.5318647
BDI,2018,2.0575192
GAB,2003,1.4352864
TZA,2016,1.61013722
CIV,2016,0.85302079
GNB,2004,0.57971573
LSO,2013,6.12028074
GAB,2018,1.61284041
BFA,2011,1.34620178
SEN,2007,1.31880546
NGA,2019,0.46980387
ZMB,2023,2.43413329
ZMB,2017,2.51039147
SEN,2021,1.20091772
AGO,2014,1.16797769
EGY,2019,1.29722774
SWZ,2018,3.39840841
LBR,2022,1.29002357
ZAF,2019,4.80006361
STP,2004,5.18779802
SSD,2021,0.92913347
ZMB,2009,1.66772234
NAM,2011,5.12084961
KEN,2001,1.05907285
TCD,2000,1.59994829
MRT,2007,0.76387841
CMR,2020,0.60675448
NAM,2020,6.51412964
GNB,2008,0.54897773
LBY,2010,2.29442048
GNB,2001,0.48134443
KEN,2006,1.17933488
ERI,2009,1.06634021
TZA,2023,0.96664101
BWA,2007,3.12948751
MWI,2017,1.71919668
GMB,2003,0.5868997
BWA,2003,3.60058308
GIN,2022,0.72876471
SDN,2016,1.28979421
RWA,2005,1.61428237
GIN,2007,0.24066733
LSO,2002,3.18394804
LBR,2021,1.11087501
STP,2009,1.5904156
ZAF,2003,2.79076648
CIV,2019,0.96328849
CMR,2019,0.40687224
SWZ,2007,3.7541039
TGO,2005,0.50362611
MUS,2020,2.93306947
COD,2021,0.64831114
BWA,2021,4.82830048
SYC,2010,3.1060183
MDG,2015,1.99010992
MWI,2023,0.83762544
BDI,2013,1.54086971
TZA,2021,0.94497848
TZA,2022,0.98185784
SOM,2020,0.2304647
LSO,2009,4.86539936
BWA,2022,4.30745316
COG,2012,0.81893653
GNB,2007,0.59780544
UGA,2013,0.97432142
SWZ,2015,2.94745016
BFA,2021,2.73058271
EGY,2009,1.53461063
BEN,2020,0.51122105
DJI,2008,1.83015931
NGA,2013,0.48927844
GAB,2010,1.57325745
AGO,2000,0.98097837
MDG,2004,2.17331147
ETH,2020,0.98278511
COM,2009,0.37907231
CMR,2013,0.4803811
ERI,2001,1.79195142
