iso3,year,diabetes
SOM,1983,3.4
RWA,1987,1.4
MOZ,1981,2.3
MLI,1986,3.6
MUS,2008,12.4
SLE,2002,5.3
ERI,1986,2.6
NER,2002,4.4
CPV,1999,6.4
ZAF,1987,5.3
UGA,1984,1.9
COM,2012,7.5
LBR,2011,7.1
CMR,1986,3.4
MAR,1981,5.3
GNB,2012,6.6
SYC,2012,10.2
AGO,1988,3.6
MDG,1995,3.5
LBR,1993,5.2
TUN,2008,10.4
GMB,1991,4.4
RWA,2011,4.3
COD,1998,4.0
ETH,1985,2.5
MOZ,2005,5.3
SSD,1986,
ZAF,1986,8.0
STP,2014,8.3
GMB,1993,4.7
STP,1995,6.1
STP,2000,6.9
CAF,1992,4.0
LSO,1990,3.1
TCD,1997,4.2
TCD,2009,6.1
LBR,1998,5.5
SOM,1998,4.7
NAM,2010,7.1
NAM,2011,6.8
COM,2006,6.6
MWI,1981,2.6
MWI,1993,3.6
STP,2002,7.4
NAM,2010,6.7
BFA,1983,2.5
MAR,2001,9.4
GHA,2011,6.2
GNB,2010,6.6
STP,1993,5.8
ZAF,1998,6.8
BDI,1994,2.0
TGO,2006,6.0
BFA,1983,2.4
RWA,1992,2.4
DJI,2008,8.6
GIN,1990,3.3
MAR,1994,7.5
NAM,2013,7.3
SDN,2008,
NGA,1991,4.1
KEN,1993,3.8
EGY,1997,12.2
STP,2001,6.7
SYC,1991,7.1
RWA,1988,1.8
CIV,1993,4.7
KEN,1991,3.1
SDN,2009,
GHA,2009,6.0
CIV,1982,3.5
ZMB,2005,5.4
LSO,1990,5.9
BWA,1994,6.6
BDI,2000,2.5
DJI,1980,5.7
NER,1993,3.3
RWA,2009,3.7
CAF,1986,3.3
ZAF,1990,8.4
SOM,1986,3.6
NER,1987,2.8
MWI,1997,4.2
MRT,1988,4.9
NER,2000,4.2
SLE,1981,3.6
COD,1992,3.4
ZMB,2009,6.0
TGO,2014,7.1
GNB,2011,6.7
ZWE,2009,7.2
MOZ,1988,3.3
LBR,2000,5.3
BWA,2007,8.4
GIN,1986,2.9
GMB,2003,6.4
DJI,2007,8.0
GNB,1990,3.6
MAR,2005,10.6
CMR,1992,4.1
GNB,1992,3.9
CAF,1994,4.2
TZA,2006,5.2
NGA,1983,2.9
MOZ,2000,4.8
DZA,2012,12.1
GMB,1980,3.3
CPV,2005,7.8
SLE,2009,6.1
TGO,1996,4.5
NAM,2010,6.9
ERI,1980,2.3
MAR,1990,6.8
SSD,1991,
SLE,2005,5.7
CMR,2014,6.9
DJI,1982,5.9
UGA,1982,1.5
BWA,1995,4.7
RWA,1984,1.2
NGA,2013,6.1
CAF,1993,4.0
COD,1998,3.9
MOZ,1995,4.2
MUS,1985,9.5
CPV,1998,5.9
SSD,2003,
TUN,1984,5.3
COG,2012,7.3
BWA,1983,4.2
TUN,1993,8.3
BWA,1984,3.5
SWZ,2005,9.4
TUN,1991,6.4
COG,1998,5.5
SSD,1985,
LBY,2010,14.7
ZMB,2006,5.7
NGA,2000,4.6
KEN,1982,2.2
GNQ,1980,2.9
SSD,1989,
NER,2004,4.9
MUS,1999,11.5
TUN,1989,6.7
KEN,1986,3.1
COD,1990,3.2
ETH,1988,2.8
LBY,2005,13.7
CMR,1995,4.3
LSO,1992,3.4
GNQ,1987,3.5
DJI,1994,7.5
ZMB,2014,6.5
GIN,1997,4.2
UGA,2001,3.1
AGO,1998,4.9
MAR,1986,5.8
GHA,2010,6.1
MOZ,1981,2.5
CPV,1994,5.0
NER,1989,2.9
UGA,2000,3.3
LBR,1992,5.2
NER,1988,2.9
RWA,1996,2.8
BWA,1998,6.3
CAF,2008,6.6
SEN,2014,7.5
GHA,2009,6.0
COM,1984,3.5
BDI,1991,2.1
MOZ,2003,5.1
SSD,2003,
MRT,2006,7.8
GNB,1986,3.2
GMB,1983,3.4
SYC,1988,6.7
STP,1984,4.5
EGY,1992,10.7
MOZ,1997,4.4
TZA,2002,4.9
NAM,1982,3.3
SEN,1983,3.9
GIN,1995,3.9
MWI,1983,2.9
LBR,1981,3.8
LBY,1998,11.8
MWI,1991,3.3
DJI,2014,7.6
MUS,1997,11.0
NAM,2002,6.1
MAR,1996,8.0
TUN,2012,12.3
BWA,2005,7.2
BEN,2009,6.2
KEN,1983,2.3
SDN,1985,
LBY,1986,9.2
DJI,2003,7.8
LSO,1980,3.7
CIV,2006,5.9
KEN,1994,3.9
BFA,1991,3.2
MOZ,1992,3.8
LBY,2012,15.3
ERI,1988,2.7
MWI,1990,3.4
ZAF,1999,9.7
LSO,1985,2.6
SWZ,1989,6.5
ZAF,2000,7.2
MAR,2007,11.3
NGA,1993,4.1
SSD,1993,
GIN,1980,2.5
SWZ,2013,9.5
SDN,1994,
DZA,1999,8.3
NER,2005,5.0
ZMB,2006,5.5
MDG,1997,4.0
BFA,2004,4.4
ZMB,1998,4.7
UGA,1992,2.3
CMR,2011,6.3
MOZ,1983,2.9
COG,2001,5.8
MLI,1988,3.4
CPV,1991,4.6
ZMB,1985,3.6
CMR,2002,5.3
BEN,1994,4.4
MWI,1987,3.2
LBR,2013,7.5
SOM,2012,6.0
MLI,2011,7.7
MAR,1980,5.2
CMR,1986,3.4
CIV,1989,4.0
STP,1988,4.9
CAF,2000,5.1
ZAF,2001,10.1
MUS,1980,7.1
ZAF,2006,8.3
MLI,1981,2.6
ZMB,1993,4.9
AGO,2000,5.2
BFA,2012,5.2
BWA,1980,2.0
MOZ,2008,5.7
MWI,2014,6.3
GMB,2005,6.8
GMB,2006,7.0
GAB,1987,5.0
MAR,1998,8.5
NER,2006,5.1
MWI,2006,5.1
BDI,2008,3.5
LBY,2002,12.0
GMB,2005,7.2
BDI,1991,1.7
GHA,2013,6.4
TZA,2001,4.8
MUS,1986,9.6
GNQ,1991,3.7
GAB,1993,6.2
TGO,2012,7.0
CIV,1988,4.1
GHA,1997,4.9
BDI,1989,1.5
SLE,1991,4.2
LBY,2011,15.6
MUS,2012,12.6
EGY,1989,9.1
TUN,2000,9.7
CIV,2001,5.4
DJI,1998,8.0
TCD,2001,4.8
COM,2014,8.0
MWI,2007,5.3
GIN,1989,3.2
GNB,1998,4.7
SDN,1996,
NAM,1980,3.2
BEN,1992,3.9
SSD,1988,
MWI,2008,5.3
SOM,1999,5.4
ZMB,1989,4.6
SSD,2000,
MUS,1983,7.6
MWI,1990,3.3
CMR,1993,4.1
STP,1995,6.3
UGA,2011,4.3
SOM,1991,4.2
TUN,2009,11.6
SDN,1998,
MWI,2009,5.6
GIN,2007,5.7
SDN,1993,
TUN,1992,7.3
CAF,1988,3.6
BEN,1987,3.8
ZAF,2001,7.3
SEN,2003,6.2
UGA,1988,2.1
KEN,2011,5.6
SEN,1981,3.9
MWI,1988,3.1
CIV,1981,3.4
KEN,2002,4.5
GNQ,2009,8.1
TGO,1991,4.1
RWA,2000,3.0
MLI,2008,5.5
MRT,1995,5.7
GIN,1992,3.5
ZWE,1981,5.2
CAF,2010,7.1
SLE,2005,5.5
ZAF,1996,6.5
MRT,1995,6.2
MAR,1999,8.8
GNB,1983,2.9
KEN,1998,3.9
GAB,1995,6.3
CPV,2006,8.0
SLE,2007,5.9
COM,2005,6.4
ZMB,2013,6.3
SDN,2007,
AGO,1988,3.5
COG,2012,7.4
BDI,1987,1.8
STP,1994,6.2
LBY,2000,12.2
BEN,2001,5.4
UGA,2013,4.6
UGA,1989,1.8
ZMB,1982,4.1
BDI,1984,1.7
NGA,1997,4.3
GNB,2003,5.5
TGO,1983,3.0
TCD,2007,6.6
MWI,1980,2.3
LSO,1999,4.5
EGY,2004,14.8
AGO,1985,3.3
MOZ,2010,5.8
CPV,2010,8.1
SDN,2010,
MUS,1998,11.4
ZMB,1981,3.3
LBR,1993,4.8
DZA,1996,8.0
TZA,2014,6.0
DZA,1980,4.7
BEN,1997,5.2
NER,1981,2.5
GAB,1982,4.1
ERI,2000,3.8
COG,1997,5.5
COD,1986,2.9
GHA,2007,5.9
GAB,2002,7.8
SDN,1982,
ZWE,1992,5.9
LBY,1996,9.9
TCD,1980,2.8
MDG,2012,6.1
ETH,2000,4.0
ETH,1998,4.0
CMR,2012,6.5
KEN,2005,4.9
NER,1989,3.0
MUS,2006,12.1
GMB,2004,6.3
UGA,1999,2.6
UGA,2011,3.9
DJI,1986,6.2
SDN,2000,
SLE,2013,6.5
SDN,1995,
SYC,1993,7.3
COG,1985,4.0
BFA,1987,2.7
AGO,2000,5.3
LBR,1985,4.6
TCD,1981,2.5
MAR,2004,10.3
GMB,1990,4.2
TZA,1990,3.3
TUN,2007,10.2
UGA,1991,2.6
BDI,1991,1.9
MDG,2001,3.9
UGA,1990,1.9
BEN,2008,6.8
EGY,2001,12.4
MDG,2014,5.5
TCD,1989,3.2
MAR,2007,11.1
TGO,2009,6.6
COG,1987,4.2
GNQ,2008,7.9
SOM,1980,3.1
SWZ,2002,7.5
ERI,2000,4.0
MDG,1986,2.9
ETH,2007,5.0
COM,2007,6.7
LBY,2007,12.9
GMB,2009,7.6
DJI,1991,6.8
MOZ,1980,2.6
STP,2003,7.1
EGY,2014,17.9
AGO,1988,3.6
MUS,2001,11.2
BFA,2005,5.1
GNB,1987,3.3
RWA,1984,1.8
ZWE,1991,4.9
NAM,1984,3.5
LSO,2008,6.1
SDN,1997,
ETH,1982,2.4
MRT,2008,8.1
BWA,1981,3.2
BDI,1995,2.1
TGO,2007,5.9
NER,1984,2.6
BDI,2006,3.3
LSO,2001,4.8
COD,2002,4.4
TCD,2005,5.5
ERI,2011,4.7
MOZ,1985,3.0
NER,1980,2.5
TUN,2006,10.4
LSO,1991,4.8
GHA,2004,5.6
NER,1999,4.3
LBY,1994,10.2
GNB,2002,5.2
SEN,1999,5.7
ZWE,1987,5.5
GNQ,1993,4.1
SDN,2003,
BEN,2005,6.4
CPV,1995,5.2
NGA,1981,3.0
CMR,2004,5.4
ZAF,1989,5.5
LBY,1993,10.8
GNQ,1980,2.7
SWZ,2002,8.9
COD,2000,4.2
CPV,1987,4.0
SSD,2008,
MOZ,1984,2.6
MRT,1990,5.6
CPV,2009,8.0
BEN,1994,4.1
COG,2004,6.2
SLE,2003,5.6
GIN,1994,3.8
SLE,2004,5.7
MAR,1983,5.6
ETH,2010,5.3
GNQ,2004,6.8
EGY,1986,7.6
BEN,1996,4.7
SSD,1983,
BFA,2002,4.6
GAB,1990,5.5
BEN,2004,6.2
BFA,1994,3.5
KEN,2000,4.3
COD,1997,3.9
CPV,1980,3.1
CAF,1980,2.9
ETH,2014,5.8
CMR,1988,3.6
ERI,2011,5.1
SYC,1998,8.1
SOM,2013,7.3
BFA,2005,4.5
CAF,1988,3.5
ETH,1985,2.7
TGO,2003,5.8
LSO,1993,3.5
CMR,1980,3.1
EGY,1983,7.8
MUS,1995,10.7
COM,1999,5.6
COD,2008,5.2
DZA,1990,7.1
ZAF,1994,6.2
CAF,2013,7.4
CIV,1983,3.5
GNQ,1982,2.9
BWA,1981,2.1
LSO,2005,8.5
SSD,1992,
GIN,1980,2.4
DJI,1994,7.2
LBY,1991,9.8
BWA,2002,5.8
NAM,1984,2.8
TCD,2006,5.7
CIV,2014,6.3
SSD,1986,
DZA,2010,11.2
GNB,1988,3.4
DZA,1990,6.7
SDN,2001,
STP,1996,6.2
EGY,1996,10.8
CMR,2013,6.7
EGY,1995,11.5
NER,2000,4.0
COM,1998,5.3
TUN,1984,5.9
TUN,1995,7.9
STP,1993,6.3
SEN,1997,5.5
ETH,2004,4.1
AGO,2004,6.0
GMB,1999,5.5
GNQ,2002,6.1
COD,2007,5.0
MRT,1996,5.9
TZA,2008,5.5
ZWE,1987,4.6
BFA,1980,2.3
LSO,1985,4.1
ZWE,1989,4.7
GHA,2003,5.4
COM,1980,3.2
BDI,2010,3.7
NER,2010,5.5
NAM,1982,2.7
ERI,1996,3.6
MDG,1991,3.4
ETH,2001,4.1
AGO,2014,8.2
ZMB,1999,5.3
ZWE,2003,6.9
SOM,2005,5.8
BFA,1996,4.1
BWA,2006,6.2
NGA,2010,5.8
SDN,1996,
BFA,1989,3.2
TZA,1993,3.8
CPV,1994,5.1
SSD,2008,
NGA,1998,4.5
COD,1990,3.2
COG,1980,3.3
SLE,2004,5.4
GIN,2014,6.8
GNB,2009,6.4
GNB,1982,2.8
GHA,1983,3.2
GIN,1987,3.0
MRT,1989,5.1
TGO,1981,3.2
SLE,1998,4.8
GHA,1985,3.4
MRT,1993,6.1
ZMB,2002,5.1
MLI,1987,3.7
NGA,1999,4.5
TGO,1986,3.6
AGO,1994,4.4
MRT,1998,7.0
COM,1980,3.2
MDG,2010,4.5
CAF,1987,3.4
GIN,2001,4.8
NAM,1991,4.1
MOZ,1989,3.2
BWA,2011,7.0
SSD,1990,
LSO,1988,2.9
ZMB,2002,5.5
NGA,2001,4.9
SSD,2005,
BFA,1982,2.5
TCD,1999,4.0
AGO,1995,4.6
SLE,1980,3.5
GNB,1999,4.9
SEN,1990,4.6
BFA,1990,3.1
COG,1988,4.4
UGA,1992,2.0
COM,1983,3.4
TZA,1983,2.7
NER,1998,4.2
LSO,2000,7.7
TUN,1991,7.9
SDN,2004,
CAF,2010,6.9
BEN,2010,7.0
MAR,1997,8.3
GMB,1982,3.4
SDN,1991,
COD,2011,5.6
ZWE,1995,6.2
ZMB,1989,4.0
KEN,2008,5.2
DZA,2013,12.2
CAF,1996,4.4
CAF,1991,3.8
CIV,1994,4.3
MWI,1989,3.3
EGY,1995,10.6
ZMB,1984,3.6
NGA,1990,4.0
ERI,2003,4.3
SWZ,1997,4.9
BEN,2005,5.7
ETH,1986,2.7
CMR,1988,3.6
COD,2005,4.8
BEN,1982,2.9
SOM,1995,4.8
MAR,1989,6.6
COM,1995,4.9
CIV,1980,3.3
AGO,1990,3.9
TGO,1987,3.3
SYC,2009,9.9
BDI,2007,3.3
TUN,1993,6.8
TGO,1993,4.4
MOZ,1988,3.1
AGO,2012,8.1
CIV,2004,6.0
SWZ,2008,6.7
GNB,1999,5.0
KEN,2005,4.7
ERI,2010,5.0
CPV,2004,7.6
NAM,1980,3.8
BDI,1980,1.3
UGA,2006,3.2
